Order_ID,Order_Date,Category,Product,Quantity,Total_Sales_USD,Payment_Method,State
ORD-00028,2025-01-31,Fashion,Jacket,2.0,2135.21,PayPal,CA
ORD-00029,2025-05-23,Electronics,Tablet,2.0,1561.9,Bank Transfer,NY
ORD-00030,2025-08-31,Fashion,,10.0,7195.53,Bank Transfer,NY
ORD-00031,2025-07-30,Electronics,Laptop,,3810.52,Bank Transfer,CA
ORD-00032,2025-02-25,Electronics,Laptop,7.0,7684.29,PayPal,NY
ORD-00033,2025-04-04,Fashion,Jeans,8.0,1819.76,Apple Pay,FL
ORD-00034,2025-10-09,Fashion,Jacket,8.0,9726.98,Credit Card,CA
ORD-00035,2025-09-06,Electronics,Laptop,,1064.56,Bank Transfer,NY
ORD-00036,2025-07-19,Sports,Treadmill,3.0,1742.64,Apple Pay,FL
ORD-00037,2025-09-07,Home,Blender,9.0,8996.13,PayPal,NY
ORD-00038,2025-10-05,Home,Sofa,1.0,877.19,Credit Card,TX
ORD-00039,2025-09-29,Electronics,Laptop,,7256.47,,CA
ORD-00040,2025-12-12,Electronics,Smartphone,2.0,1801.3,PayPal,FL
ORD-00041,2025-01-21,Electronics,Camera,4.0,3507.2,Credit Card,FL
ORD-00042,2025-06-10,Home,Desk,4.0,4044.78,PayPal,TX
ORD-00043,2025-02-07,Sports,,5.0,3483.46,Credit Card,FL
ORD-00044,2025-05-16,Electronics,Laptop,9.0,3019.22,PayPal,TX
ORD-00045,2025-08-13,Electronics,Smartphone,6.0,2650.69,Apple Pay,IL
ORD-00046,2025-02-23,Electronics,Camera,5.0,6994.99,PayPal,TX
ORD-00047,2025-05-25,Electronics,Laptop,9.0,,PayPal,TX
ORD-00048,2025-01-27,Fashion,Handbag,,6687.24,Credit Card,FL
ORD-00049,2025-03-08,Home,Air Fryer,1.0,513.66,Apple Pay,NY
ORD-00050,2025-02-27,Sports,Yoga Mat,,,Credit Card,NY
ORD-00051,2025-08-09,Electronics,Tablet,10.0,8377.37,PayPal,CA
ORD-00052,2025-04-18,Home,Desk,1.0,1350.41,PayPal,CA
ORD-00053,2025-03-21,Home,Microwave,7.0,10228.95,PayPal,NY
ORD-00054,2025-06-20,Fashion,T-shirt,1.0,285.45,Bank Transfer,NY
ORD-00055,2025-01-20,Home,Sofa,2.0,1172.32,Bank Transfer,NY
ORD-00056,2025-04-27,Fashion,T-shirt,6.0,2830.09,PayPal,
ORD-00057,2025-02-05,Fashion,T-shirt,6.0,2594.0,Apple Pay,TX
ORD-00058,2025-03-01,Sports,Yoga Mat,6.0,8460.43,Apple Pay,
ORD-00059,2025-06-26,Home,,2.0,1805.85,Apple Pay,FL
ORD-00060,2025-01-23,Electronics,Headphones,10.0,3013.17,Bank Transfer,CA
ORD-00061,2025-12-07,Fashion,Handbag,7.0,,Apple Pay,IL
ORD-00062,2025-12-08,Home,Air Fryer,5.0,3852.71,Bank Transfer,TX
ORD-00063,2025-08-04,Sports,Dumbbell,9.0,1875.47,Bank Transfer,NY
ORD-00064,2025-06-05,Home,Blender,9.0,11285.22,Apple Pay,NY
ORD-00065,2025-08-27,Sports,Yoga Mat,10.0,,Bank Transfer,FL
ORD-00066,2025-03-28,Fashion,Jeans,8.0,9557.83,Credit Card,TX
ORD-00067,2025-04-26,Home,Air Fryer,4.0,4062.95,,NY
ORD-00068,2025-11-09,Electronics,Laptop,4.0,5904.9,Credit Card,FL
ORD-00069,2025-07-16,Sports,Yoga Mat,4.0,4332.61,Bank Transfer,FL
ORD-00070,2025-02-24,Fashion,Sneakers,1.0,1341.14,Bank Transfer,NY
ORD-00071,2025-05-08,Fashion,Jeans,8.0,754.59,Credit Card,FL
ORD-00072,2025-11-01,Fashion,T-shirt,9.0,13338.73,Apple Pay,FL
ORD-00073,2025-09-01,Sports,,,10782.94,Bank Transfer,TX
ORD-00074,2025-05-03,Fashion,Handbag,,6634.83,Apple Pay,FL
ORD-00075,2025-06-13,Electronics,Tablet,4.0,1688.55,Credit Card,NY
ORD-00076,2025-12-28,Fashion,Sneakers,7.0,7329.32,PayPal,CA
ORD-00077,2025-08-01,Sports,Tent,6.0,4938.39,Credit Card,NY
ORD-00078,2025-01-11,Sports,Tent,10.0,14201.72,Bank Transfer,FL
ORD-00079,2025-08-03,Electronics,Tablet,5.0,5675.72,PayPal,FL
ORD-00080,2025-07-19,Fashion,Handbag,7.0,5171.25,Apple Pay,FL
ORD-00081,2025-10-01,Fashion,T-shirt,3.0,,Credit Card,FL
ORD-00082,2025-08-25,Electronics,Laptop,7.0,,PayPal,CA
ORD-00083,2025-06-17,Home,Blender,6.0,1999.54,Apple Pay,FL
ORD-00084,2025-08-29,Home,Blender,5.0,6278.34,Credit Card,IL
ORD-00085,2025-11-30,Electronics,Tablet,4.0,3928.85,Credit Card,CA
ORD-00086,2025-05-03,Fashion,Sneakers,1.0,939.58,PayPal,
ORD-00087,2025-05-12,Electronics,Camera,4.0,2833.0,Apple Pay,NY
ORD-00088,2025-01-14,Electronics,Smartphone,5.0,899.93,,IL
ORD-00089,2025-12-20,Sports,Tent,4.0,529.9,PayPal,CA
ORD-00090,2025-10-17,Home,Microwave,2.0,2396.83,Credit Card,
ORD-00091,2025-06-24,Sports,Dumbbell,2.0,1537.64,Credit Card,FL
ORD-00092,2025-11-22,Sports,Treadmill,7.0,10093.76,Bank Transfer,NY
ORD-00093,2025-05-19,Sports,Bike,9.0,13040.11,Bank Transfer,FL
ORD-00094,2025-05-06,Sports,Yoga Mat,5.0,2485.05,Credit Card,TX
ORD-00095,2025-12-09,Sports,Bike,8.0,6907.02,Bank Transfer,TX
ORD-00096,2025-04-19,Electronics,Headphones,6.0,1734.74,Apple Pay,TX
ORD-00097,2025-05-22,Home,Desk,10.0,10577.52,Credit Card,
ORD-00098,2025-09-08,Fashion,Jacket,4.0,4342.84,PayPal,FL
ORD-00099,2025-04-24,Sports,,1.0,157.72,,NY
ORD-00100,2025-09-29,Home,Microwave,6.0,4322.55,Apple Pay,
ORD-00101,2025-05-09,Home,,,3367.65,PayPal,CA
ORD-00102,2025-12-20,Fashion,Handbag,2.0,2238.93,PayPal,NY
ORD-00103,2025-09-26,Fashion,T-shirt,5.0,5461.93,Apple Pay,CA
ORD-00104,2025-06-04,Fashion,Handbag,4.0,2216.42,Credit Card,IL
ORD-00105,2025-10-11,Fashion,Handbag,1.0,1461.96,Apple Pay,NY
ORD-00106,2025-08-29,Sports,Treadmill,1.0,869.62,Bank Transfer,FL
ORD-00107,2025-09-02,Home,Sofa,1.0,393.67,Credit Card,CA
ORD-00108,2025-12-18,Sports,Tent,2.0,1747.98,,
ORD-00109,2025-05-08,Fashion,Jeans,5.0,730.34,Credit Card,IL
ORD-00110,2025-04-26,Sports,Yoga Mat,10.0,11902.96,Bank Transfer,FL
ORD-00111,2025-06-06,Sports,Dumbbell,10.0,14852.46,Credit Card,IL
ORD-00112,2025-02-11,Electronics,Smartphone,4.0,1646.71,PayPal,NY
ORD-00113,2025-07-29,Fashion,Jeans,2.0,503.34,Bank Transfer,IL
ORD-00114,2025-12-28,Sports,Dumbbell,1.0,362.58,Apple Pay,FL
ORD-00115,2025-11-17,Electronics,Smartphone,5.0,5929.93,PayPal,FL
ORD-00116,2025-05-17,Electronics,Camera,4.0,3914.0,PayPal,CA
ORD-00117,2025-10-19,Electronics,Smartphone,5.0,4503.33,Apple Pay,FL
ORD-00118,2025-05-20,Electronics,Headphones,5.0,5278.03,,FL
ORD-00119,2025-06-15,Electronics,Camera,1.0,,Apple Pay,CA
ORD-00120,2025-01-11,Electronics,Smartphone,10.0,8889.42,Apple Pay,IL
ORD-00121,2025-08-15,Electronics,Smartphone,8.0,6304.53,Apple Pay,NY
ORD-00122,2025-07-29,Sports,Tent,2.0,1431.23,Apple Pay,TX
ORD-00123,2025-09-11,Electronics,Smartphone,6.0,3775.41,,FL
ORD-00124,2025-06-15,Electronics,Headphones,2.0,970.97,Credit Card,FL
ORD-00125,2025-04-07,Electronics,Camera,8.0,5052.85,Apple Pay,IL
ORD-00126,2025-10-09,Sports,Tent,1.0,321.27,PayPal,TX
ORD-00127,2025-11-19,Sports,Tent,2.0,125.45,PayPal,NY
ORD-00128,2025-02-17,Home,Microwave,1.0,837.33,PayPal,CA
ORD-00129,2025-05-30,Sports,,3.0,2272.79,Apple Pay,FL
ORD-00130,2025-03-16,Sports,Tent,4.0,2784.18,Bank Transfer,
ORD-00131,2025-08-01,Fashion,Jacket,5.0,5817.8,Apple Pay,IL
ORD-00132,2025-10-28,Home,Air Fryer,5.0,,Bank Transfer,NY
ORD-00133,2025-10-10,Sports,Yoga Mat,8.0,4246.27,Bank Transfer,FL
ORD-00134,2025-04-30,Home,Sofa,4.0,3465.04,Bank Transfer,CA
ORD-00135,2025-12-06,Home,Blender,7.0,4139.78,PayPal,FL
ORD-00136,2025-06-19,Electronics,Smartphone,,13038.51,Credit Card,
ORD-00137,2025-03-15,Electronics,Camera,8.0,,Bank Transfer,NY
ORD-00138,2025-12-21,Electronics,Headphones,5.0,2605.35,Bank Transfer,CA
ORD-00139,2025-11-17,Home,Microwave,7.0,10024.89,Bank Transfer,IL
ORD-00140,2025-12-17,Electronics,Camera,2.0,734.92,,NY
ORD-00141,2025-12-27,Electronics,Headphones,2.0,2290.69,Credit Card,FL
ORD-00142,2025-01-29,Fashion,Handbag,1.0,88.07,Apple Pay,TX
ORD-00143,2025-07-30,Home,Blender,3.0,1144.24,PayPal,NY
ORD-00144,2025-11-14,Fashion,Jacket,10.0,13088.43,PayPal,FL
ORD-00145,2025-08-24,Fashion,Sneakers,8.0,7712.79,Apple Pay,CA
ORD-00146,2025-08-15,Sports,,9.0,2284.24,Apple Pay,IL
ORD-00147,2025-06-04,Home,Blender,5.0,3480.59,PayPal,FL
ORD-00148,2025-07-03,Sports,Treadmill,4.0,2337.68,Apple Pay,TX
ORD-00149,2025-12-18,Electronics,Headphones,5.0,159.92,Credit Card,IL
ORD-00150,2025-06-30,Sports,Dumbbell,4.0,3673.82,PayPal,NY
ORD-00151,2025-11-27,Home,Sofa,2.0,2714.07,Credit Card,TX
ORD-00152,2025-03-09,Sports,Treadmill,10.0,5599.95,Credit Card,
ORD-00153,2025-10-04,Home,Blender,3.0,951.53,Apple Pay,IL
ORD-00154,2025-09-04,Home,Sofa,5.0,6863.96,Apple Pay,TX
ORD-00155,2025-04-26,Electronics,Headphones,2.0,456.64,Bank Transfer,IL
ORD-00156,2025-10-02,Home,Air Fryer,7.0,284.2,Credit Card,
ORD-00157,2025-11-23,Home,Desk,10.0,5839.18,Apple Pay,CA
ORD-00158,2025-10-15,Fashion,T-shirt,1.0,936.93,,IL
ORD-00159,2025-06-04,Fashion,Jacket,8.0,10927.15,Bank Transfer,CA
ORD-00160,2025-09-10,Fashion,Jacket,,470.46,Credit Card,CA
ORD-00161,2025-07-09,Fashion,Jeans,3.0,1785.59,Bank Transfer,IL
ORD-00162,2025-11-12,Fashion,T-shirt,2.0,2507.73,,TX
ORD-00163,2025-05-01,Electronics,Tablet,4.0,2704.83,Apple Pay,CA
ORD-00164,2025-05-22,Home,Microwave,6.0,657.68,PayPal,CA
ORD-00165,2025-11-02,Sports,Treadmill,4.0,3878.89,,CA
ORD-00166,2025-04-16,Home,Sofa,3.0,3554.18,Credit Card,IL
ORD-00167,2025-04-30,Fashion,Jeans,4.0,4893.27,Apple Pay,NY
ORD-00168,2025-10-04,Electronics,Tablet,3.0,4444.62,Apple Pay,NY
ORD-00169,2025-05-02,Electronics,,,125.98,Apple Pay,CA
ORD-00170,2025-08-04,Fashion,Handbag,1.0,207.6,Credit Card,CA
ORD-00171,2025-02-25,Sports,Tent,6.0,4677.55,Bank Transfer,IL
ORD-00172,2025-12-04,Fashion,,1.0,,Apple Pay,FL
ORD-00173,2025-08-07,Electronics,Laptop,8.0,10192.01,Credit Card,FL
ORD-00174,2025-03-17,Sports,Treadmill,2.0,993.45,Credit Card,NY
ORD-00175,2025-06-16,Home,Microwave,10.0,8315.68,Bank Transfer,IL
ORD-00176,2025-02-20,Home,Blender,9.0,8244.28,Credit Card,IL
ORD-00177,2025-07-31,Fashion,T-shirt,8.0,10675.0,Apple Pay,FL
ORD-00178,2025-06-10,Sports,Tent,2.0,965.14,Apple Pay,TX
ORD-00179,2025-02-13,Fashion,T-shirt,2.0,310.03,Credit Card,FL
ORD-00180,2025-10-28,Electronics,Tablet,3.0,2530.29,Apple Pay,CA
ORD-00181,2025-01-27,Sports,Dumbbell,7.0,9133.43,Apple Pay,IL
ORD-00182,2025-04-19,Home,Desk,2.0,1750.64,PayPal,FL
ORD-00183,2025-07-08,Fashion,Jacket,6.0,,Credit Card,TX
ORD-00184,2025-11-15,Fashion,T-shirt,9.0,13160.96,Credit Card,IL
ORD-00185,2025-06-08,Home,Air Fryer,3.0,1273.32,Apple Pay,TX
ORD-00186,2025-07-25,Electronics,Smartphone,3.0,2574.47,Credit Card,NY
ORD-00187,2025-08-03,Electronics,Laptop,9.0,3045.57,Bank Transfer,TX
ORD-00188,2025-10-18,Fashion,Handbag,,5439.81,Credit Card,CA
ORD-00189,2025-02-11,Fashion,Sneakers,10.0,936.48,Apple Pay,FL
ORD-00190,2025-05-20,Sports,Tent,10.0,6742.25,PayPal,IL
ORD-00191,2025-12-14,Electronics,Tablet,,1288.82,Bank Transfer,IL
ORD-00192,2025-11-03,Home,Air Fryer,4.0,2419.96,Credit Card,CA
ORD-00193,2025-05-11,Fashion,Handbag,4.0,4622.71,Apple Pay,TX
ORD-00194,2025-03-31,Electronics,Laptop,8.0,9004.65,PayPal,FL
ORD-00195,2025-07-01,Fashion,Jeans,,11280.28,Credit Card,FL
ORD-00196,2025-02-09,Electronics,Headphones,1.0,700.44,Apple Pay,IL
ORD-00197,2025-08-02,Sports,Yoga Mat,7.0,7490.41,Apple Pay,
ORD-00198,2025-11-13,Sports,Treadmill,6.0,1646.23,Bank Transfer,TX
ORD-00199,2025-10-29,Electronics,Headphones,2.0,760.22,Bank Transfer,IL
ORD-00200,2025-04-24,Electronics,Headphones,5.0,5618.96,Apple Pay,NY
ORD-00201,2025-04-10,Electronics,Camera,2.0,1610.59,Apple Pay,TX
ORD-00202,2025-04-12,Fashion,Sneakers,,473.47,PayPal,IL
ORD-00203,2025-11-18,Fashion,Jacket,,4283.74,Bank Transfer,FL
ORD-00204,2025-11-18,Sports,Yoga Mat,10.0,,Apple Pay,NY
ORD-00205,2025-06-05,Sports,Treadmill,8.0,5395.74,Apple Pay,IL
ORD-00206,2025-08-25,Electronics,,9.0,1168.22,Bank Transfer,CA
ORD-00207,2025-02-16,Electronics,Tablet,5.0,667.81,Bank Transfer,FL
ORD-00208,2025-06-14,Electronics,Headphones,10.0,9847.19,Bank Transfer,IL
ORD-00209,2025-06-25,Fashion,,8.0,1385.46,Credit Card,IL
ORD-00210,2025-08-13,Fashion,Jacket,4.0,4269.12,PayPal,
ORD-00211,2025-06-23,Home,Desk,7.0,4374.85,Credit Card,TX
ORD-00212,2025-07-17,Electronics,Tablet,2.0,1691.57,Apple Pay,TX
ORD-00213,2025-03-14,Fashion,Handbag,2.0,,Apple Pay,TX
ORD-00214,2025-02-13,Sports,Bike,10.0,10690.74,Apple Pay,IL
ORD-00215,2025-12-17,Sports,Dumbbell,3.0,3035.32,Credit Card,FL
ORD-00216,2025-04-20,Home,Air Fryer,6.0,2862.73,Apple Pay,FL
ORD-00217,2025-06-01,Fashion,Sneakers,3.0,747.96,Credit Card,
ORD-00218,2025-07-12,Electronics,Tablet,10.0,2139.53,,NY
ORD-00219,2025-01-23,Fashion,Jeans,3.0,3262.05,Bank Transfer,TX
ORD-00220,2025-08-18,Fashion,T-shirt,10.0,4416.93,PayPal,IL
ORD-00221,2025-04-10,Fashion,Handbag,8.0,10863.06,Apple Pay,IL
ORD-00222,2025-09-15,Sports,Tent,5.0,5858.12,Bank Transfer,NY
ORD-00223,2025-01-27,Fashion,Jeans,3.0,,Bank Transfer,TX
ORD-00224,2025-03-24,Electronics,Camera,2.0,883.79,,FL
ORD-00225,2025-04-24,Fashion,T-shirt,2.0,,Bank Transfer,TX
ORD-00226,2025-07-11,Electronics,Headphones,1.0,606.75,PayPal,FL
ORD-00227,2025-02-20,Electronics,Tablet,4.0,246.87,Apple Pay,NY
ORD-00228,2025-08-30,Fashion,Jacket,5.0,6888.73,PayPal,FL
ORD-00229,2025-01-10,Sports,Yoga Mat,1.0,1360.67,Apple Pay,NY
ORD-00230,2025-02-26,Fashion,Jeans,10.0,8011.02,Apple Pay,NY
ORD-00231,2025-11-24,Home,Air Fryer,1.0,372.89,Bank Transfer,CA
ORD-00232,2025-11-20,Electronics,Headphones,10.0,,PayPal,NY
ORD-00233,2025-05-04,Home,Blender,1.0,929.92,Bank Transfer,NY
ORD-00234,2025-09-27,Electronics,Camera,,720.99,,FL
ORD-00235,2025-05-10,Sports,Treadmill,7.0,10303.57,Credit Card,
ORD-00236,2025-11-18,Electronics,Tablet,4.0,4419.01,Credit Card,IL
ORD-00237,2025-06-23,Home,Sofa,1.0,541.4,PayPal,
ORD-00238,2025-08-23,Sports,,3.0,340.17,Credit Card,TX
ORD-00239,2025-06-11,Fashion,Jacket,4.0,,Apple Pay,IL
ORD-00240,2025-11-28,Sports,Yoga Mat,8.0,3159.23,PayPal,TX
ORD-00241,2025-07-08,Home,Air Fryer,6.0,2546.16,Bank Transfer,FL
ORD-00242,2025-09-12,Sports,Tent,6.0,,Bank Transfer,TX
ORD-00243,2025-11-05,Home,Air Fryer,7.0,957.68,PayPal,IL
ORD-00244,2025-12-05,Home,Desk,2.0,277.0,Apple Pay,TX
ORD-00245,2025-08-16,Sports,,7.0,1866.44,Apple Pay,FL
ORD-00246,2025-05-21,Electronics,Tablet,10.0,14972.63,Credit Card,CA
ORD-00247,2025-12-14,Sports,Dumbbell,9.0,,PayPal,CA
ORD-00248,2025-02-04,Fashion,Jeans,,572.02,PayPal,TX
ORD-00249,2025-03-20,Home,Blender,10.0,679.3,Bank Transfer,TX
ORD-00250,2025-09-29,Home,Blender,2.0,1738.81,Apple Pay,FL
ORD-00251,2025-01-14,Home,Desk,4.0,,PayPal,FL
ORD-00252,2025-05-14,Sports,Yoga Mat,2.0,814.86,Bank Transfer,NY
ORD-00253,2025-02-07,Home,Blender,4.0,806.01,Bank Transfer,NY
ORD-00254,2025-12-30,Sports,Treadmill,6.0,6050.42,Credit Card,IL
ORD-00255,2025-12-25,Home,Desk,3.0,3220.43,PayPal,TX
ORD-00256,2025-05-02,Fashion,Jacket,4.0,4769.03,Bank Transfer,CA
ORD-00257,2025-10-10,Home,Microwave,10.0,5659.89,PayPal,IL
ORD-00258,2025-09-03,Electronics,Laptop,5.0,3046.38,Bank Transfer,FL
ORD-00259,2025-08-19,Electronics,Smartphone,,5823.97,Bank Transfer,IL
ORD-00260,2025-04-04,Home,Sofa,9.0,8702.06,PayPal,FL
ORD-00261,2025-03-26,Electronics,Laptop,9.0,2218.17,PayPal,TX
ORD-00262,2025-02-10,Fashion,Handbag,9.0,12100.41,Apple Pay,NY
ORD-00263,2025-02-17,Home,Sofa,5.0,4646.77,PayPal,IL
ORD-00264,2025-11-06,Fashion,Sneakers,10.0,10865.36,,IL
ORD-00265,2025-11-25,Electronics,Laptop,,174.57,Apple Pay,NY
ORD-00266,2025-11-18,Sports,Yoga Mat,,757.1,,TX
ORD-00267,2025-02-07,Sports,Bike,7.0,3221.41,Credit Card,NY
ORD-00268,2025-06-24,Sports,Tent,8.0,5659.0,PayPal,TX
ORD-00269,2025-07-09,Home,Desk,7.0,1494.74,Credit Card,TX
ORD-00270,2025-05-07,Fashion,T-shirt,2.0,831.72,PayPal,CA
ORD-00271,2025-08-03,Electronics,Tablet,7.0,9092.74,PayPal,NY
ORD-00272,2025-03-23,Home,Microwave,6.0,1805.73,,IL
ORD-00273,2025-02-16,Sports,Tent,5.0,3780.54,Bank Transfer,IL
ORD-00274,2025-01-25,Sports,Bike,,3533.4,Credit Card,TX
ORD-00275,2025-01-05,Sports,Yoga Mat,8.0,3543.26,Credit Card,FL
ORD-00276,2025-07-07,Fashion,Handbag,6.0,6903.05,Credit Card,FL
ORD-00277,2025-10-11,Electronics,Camera,9.0,2772.81,Apple Pay,CA
ORD-00278,2025-05-24,Sports,Yoga Mat,8.0,9210.54,Credit Card,NY
ORD-00279,2025-06-23,Electronics,Headphones,6.0,7178.69,Apple Pay,NY
ORD-00280,2025-01-21,Fashion,Jeans,9.0,,Credit Card,CA
ORD-00281,2025-03-18,Fashion,Handbag,8.0,6308.9,PayPal,TX
ORD-00282,2025-06-03,Home,Sofa,7.0,10402.78,Apple Pay,IL
ORD-00283,2025-01-09,Sports,Yoga Mat,5.0,3614.21,Apple Pay,TX
ORD-00284,2025-12-19,Electronics,Headphones,,,Credit Card,
ORD-00285,2025-01-27,Sports,Dumbbell,10.0,8748.99,Bank Transfer,NY
ORD-00286,2025-12-25,Sports,,4.0,266.9,Credit Card,NY
ORD-00287,2025-07-31,Electronics,Headphones,6.0,3838.77,PayPal,FL
ORD-00288,2025-10-15,Sports,Treadmill,3.0,2362.95,Apple Pay,FL
ORD-00289,2025-09-30,Sports,Dumbbell,,2100.91,Apple Pay,IL
ORD-00290,2025-05-07,Home,Desk,,7365.87,Apple Pay,IL
ORD-00291,2025-12-27,Home,,5.0,5806.69,,FL
ORD-00292,2025-05-21,Home,,6.0,5097.13,Apple Pay,CA
ORD-00293,2025-03-16,Sports,Tent,6.0,8596.93,Apple Pay,CA
ORD-00294,2025-12-02,Home,Air Fryer,6.0,8325.21,Apple Pay,FL
ORD-00295,2025-10-15,Fashion,Sneakers,9.0,,Apple Pay,NY
ORD-00296,2025-01-26,Electronics,Camera,10.0,,,NY
ORD-00297,2025-08-30,Electronics,Laptop,7.0,3561.84,Credit Card,NY
ORD-00298,2025-09-01,Electronics,Camera,3.0,,Bank Transfer,NY
ORD-00299,2025-02-15,Home,Desk,5.0,4879.64,PayPal,IL
ORD-00300,2025-04-01,Electronics,Smartphone,7.0,9280.06,Credit Card,FL
ORD-00301,2025-01-05,Sports,Bike,,6587.9,Apple Pay,IL
ORD-00302,2025-11-25,Electronics,Tablet,5.0,3462.18,Bank Transfer,NY
ORD-00303,2025-06-19,Sports,Dumbbell,,4868.18,PayPal,FL
ORD-00304,2025-06-01,Home,Sofa,1.0,1110.19,PayPal,NY
ORD-00305,2025-07-25,Sports,Tent,9.0,4547.98,Credit Card,NY
ORD-00306,2025-01-04,Fashion,T-shirt,6.0,8430.13,Apple Pay,FL
ORD-00307,2025-06-04,Fashion,T-shirt,5.0,,Credit Card,TX
ORD-00308,2025-08-27,Home,Sofa,1.0,1008.32,,NY
ORD-00309,2025-11-24,Sports,Yoga Mat,5.0,5208.15,Apple Pay,TX
ORD-00310,2025-08-21,Fashion,Sneakers,3.0,2183.13,Apple Pay,FL
ORD-00311,2025-12-15,Sports,Yoga Mat,4.0,4590.21,Credit Card,IL
ORD-00312,2025-10-16,Sports,Yoga Mat,6.0,813.55,Credit Card,CA
ORD-00313,2025-06-17,Fashion,,9.0,2176.03,Bank Transfer,CA
ORD-00314,2025-09-19,Fashion,Jeans,8.0,1236.75,,CA
ORD-00315,2025-10-16,Sports,Bike,9.0,5713.46,Credit Card,IL
ORD-00316,2025-01-02,Sports,Dumbbell,1.0,606.0,PayPal,IL
ORD-00317,2025-02-02,Electronics,Laptop,7.0,3709.32,Credit Card,CA
ORD-00318,2025-03-11,Sports,Treadmill,5.0,3125.62,,
ORD-00319,2025-12-16,Sports,Tent,7.0,4031.69,PayPal,TX
ORD-00320,2025-03-07,Electronics,Smartphone,,5415.54,PayPal,CA
ORD-00321,2025-10-06,Electronics,Tablet,8.0,8134.24,Bank Transfer,IL
ORD-00322,2025-03-21,Sports,Bike,4.0,2806.9,,NY
ORD-00323,2025-01-09,Electronics,Laptop,7.0,6510.6,PayPal,NY
ORD-00324,2025-11-03,Electronics,Laptop,10.0,696.93,Credit Card,NY
ORD-00325,2025-04-22,Electronics,Headphones,8.0,2934.58,Credit Card,NY
ORD-00326,2025-11-03,Home,Sofa,10.0,4919.77,Apple Pay,NY
ORD-00327,2025-06-03,Home,Sofa,9.0,3124.29,Apple Pay,
ORD-00328,2025-06-26,Fashion,T-shirt,9.0,,Bank Transfer,IL
ORD-00329,2025-07-12,Home,Blender,7.0,1685.89,PayPal,IL
ORD-00330,2025-12-29,Sports,Bike,4.0,,PayPal,FL
ORD-00331,2025-10-13,Electronics,Camera,7.0,10166.26,PayPal,FL
ORD-00332,2025-02-10,Fashion,Handbag,4.0,,Bank Transfer,TX
ORD-00333,2025-07-13,Electronics,,4.0,385.1,Credit Card,CA
ORD-00334,2025-04-17,Fashion,Jeans,9.0,3070.66,Apple Pay,TX
ORD-00335,2025-03-02,Electronics,,4.0,5775.5,Bank Transfer,NY
ORD-00336,2025-05-25,Fashion,,4.0,3348.31,Bank Transfer,
ORD-00337,2025-09-12,Home,Desk,5.0,2761.37,Bank Transfer,CA
ORD-00338,2025-07-31,Sports,Dumbbell,4.0,2274.57,Credit Card,IL
ORD-00339,2025-10-27,Fashion,Sneakers,,405.95,Bank Transfer,TX
ORD-00340,2025-10-19,Fashion,Sneakers,,2162.57,PayPal,FL
ORD-00341,2025-11-25,Home,Desk,8.0,11603.46,Bank Transfer,FL
ORD-00342,2025-10-07,Fashion,Handbag,3.0,,Bank Transfer,
ORD-00343,2025-02-08,Electronics,Camera,1.0,,Credit Card,CA
ORD-00344,2025-03-19,Sports,Bike,4.0,482.37,Credit Card,NY
