ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,OVERDUE
5009526,F,Y,N,0,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,-13590,-982,1,0,1,0,2,NO
5009536,M,Y,N,0,216000,Working,Secondary / secondary special,Married,House / apartment,-15455,-890,1,1,0,0,2,NO
5009537,F,Y,N,0,202500,Commercial associate,Secondary / secondary special,Married,House / apartment,-15527,-1744,1,1,1,0,2,NO
5009543,F,N,N,0,198000,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-18813,-9748,1,0,0,0,2,NO
5009562,F,N,N,0,157500,Pensioner,Secondary / secondary special,Widow,House / apartment,-20302,365243,1,0,1,0,1,NO
5009565,M,Y,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,-15153,-3143,1,1,1,0,2,NO
5009575,F,Y,N,0,315000,Working,Secondary / secondary special,Married,House / apartment,-17074,-798,1,0,0,0,2,NO
5009577,F,N,N,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,-21316,365243,1,0,0,0,2,NO
5009582,F,N,N,0,90000,Working,Secondary / secondary special,Separated,House / apartment,-11682,-678,1,0,0,0,1,NO
5009585,F,N,N,0,45000,Working,Secondary / secondary special,Separated,House / apartment,-14374,-798,1,0,1,0,1,NO
5009590,F,Y,N,0,225000,Working,Secondary / secondary special,Married,House / apartment,-8488,-1835,1,0,1,0,2,NO
5009592,F,N,N,0,112500,Pensioner,Secondary / secondary special,Single / not married,Rented apartment,-23532,365243,1,0,1,0,1,NO
5009593,F,Y,N,0,144000,Working,Secondary / secondary special,Married,House / apartment,-17383,-890,1,1,1,0,2,NO
5009602,F,Y,N,0,315000,Commercial associate,Higher education,Married,House / apartment,-13455,-2748,1,1,1,0,2,NO
5009603,F,N,N,1,112500,Working,Secondary / secondary special,Married,House / apartment,-12872,-3720,1,1,0,0,3,NO
5009607,F,N,N,2,144000,Working,Secondary / secondary special,Married,House / apartment,-12277,-982,1,1,1,0,4,NO
5009617,M,Y,N,0,225000,Pensioner,Secondary / secondary special,Married,House / apartment,-17367,365243,1,0,0,0,2,NO
5009620,M,Y,N,0,135000,Working,Secondary / secondary special,Married,House / apartment,-19056,-99,1,1,0,0,2,NO
5009625,F,N,N,0,238500,Working,Secondary / secondary special,Married,House / apartment,-19305,-3296,1,1,0,0,2,NO
5009631,F,N,N,0,112500,Working,Secondary / secondary special,Married,House / apartment,-9890,-2047,1,0,1,0,2,NO
5009633,M,Y,N,1,144000,Working,Incomplete higher,Married,House / apartment,-10049,-283,1,1,0,0,3,NO
5009636,F,N,N,0,90000,Pensioner,Secondary / secondary special,Married,House / apartment,-21426,365243,1,0,1,0,2,NO
5009642,M,N,N,0,202500,Commercial associate,Secondary / secondary special,Single / not married,With parents,-8489,-921,1,1,0,0,1,NO
5009646,M,N,N,0,117000,Working,Secondary / secondary special,Single / not married,House / apartment,-14689,-3661,1,1,0,0,1,NO
5009651,F,N,N,0,135000,State servant,Secondary / secondary special,Married,House / apartment,-18650,-10936,1,0,1,0,2,NO
5009660,M,N,N,0,225000,Working,Higher education,Single / not married,House / apartment,-10166,-1774,1,1,0,0,1,NO
5009664,F,N,N,0,126000,Pensioner,Secondary / secondary special,Separated,House / apartment,-19191,365243,1,0,0,0,1,NO
5009671,F,N,N,0,135000,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-15805,-433,1,1,0,0,2,NO
5009673,F,N,N,0,90000,Pensioner,Secondary / secondary special,Widow,House / apartment,-21688,365243,1,0,1,0,1,NO
5009689,F,N,N,0,153000,Pensioner,Secondary / secondary special,Separated,House / apartment,-23299,365243,1,0,1,0,1,NO
5009694,M,Y,N,0,1350000,Commercial associate,Higher education,Married,Municipal apartment,-12999,-1560,1,0,1,1,2,NO
5009701,F,N,N,0,139500,Pensioner,Secondary / secondary special,Married,House / apartment,-20863,365243,1,0,0,0,2,NO
5009706,F,N,N,0,157500,Working,Higher education,Married,House / apartment,-11644,-344,1,0,0,0,2,NO
5009711,F,Y,N,0,135000,Working,Secondary / secondary special,Civil marriage,With parents,-11102,-433,1,1,1,0,2,NO
5009713,M,N,N,0,180000,Working,Secondary / secondary special,Single / not married,House / apartment,-9380,-1713,1,1,1,0,1,NO
5009719,F,N,N,0,225000,Working,Secondary / secondary special,Single / not married,House / apartment,-19316,-4451,1,1,1,0,1,NO
5009724,F,N,N,0,135000,Working,Higher education,Married,House / apartment,-9887,-2474,1,0,1,0,2,NO
5009729,M,Y,N,0,292500,Working,Secondary / secondary special,Married,House / apartment,-13178,-1317,1,1,0,0,2,NO
5009732,F,Y,N,0,270000,Commercial associate,Higher education,Married,House / apartment,-19341,-7314,1,1,1,0,2,NO
5009736,F,Y,N,0,99000,Working,Secondary / secondary special,Married,House / apartment,-14657,-4392,1,1,1,0,2,NO
5009742,F,N,N,0,135000,Working,Secondary / secondary special,Married,House / apartment,-12328,-2474,1,1,1,0,2,NO
5009745,F,Y,N,0,315000,Commercial associate,Higher education,Married,House / apartment,-13557,-586,1,1,1,0,2,NO
5009757,M,Y,N,0,270000,Working,Higher education,Single / not married,House / apartment,-9087,-1682,1,0,0,0,1,NO
5009762,M,N,N,0,135000,Working,Secondary / secondary special,Separated,House / apartment,-14118,-3174,1,0,0,0,1,NO
5009783,M,Y,N,2,445500,State servant,Higher education,Married,Municipal apartment,-14906,-6826,1,1,0,0,4,NO
5009785,F,N,N,0,198000,Pensioner,Secondary / secondary special,Widow,House / apartment,-22002,365243,1,0,1,0,1,NO
5009799,F,Y,N,0,382500,Working,Higher education,Married,House / apartment,-15435,-3965,1,1,1,0,2,NO
5009805,F,N,N,1,202500,Working,Secondary / secondary special,Married,House / apartment,-11813,-3266,1,1,1,0,3,NO
5009819,F,Y,N,0,99000,Working,Secondary / secondary special,Married,House / apartment,-14883,-5457,1,0,1,0,2,NO
5009826,F,N,N,0,112500,Working,Secondary / secondary special,Married,House / apartment,-15759,-374,1,1,0,0,2,NO
5009831,M,Y,N,0,166500,Working,Higher education,Married,With parents,-10435,-1713,1,1,0,0,2,NO
5009837,F,N,N,0,135000,State servant,Secondary / secondary special,Civil marriage,House / apartment,-13120,-5578,1,0,0,0,2,NO
5009839,M,Y,N,0,202500,Working,Secondary / secondary special,Civil marriage,House / apartment,-12636,-405,1,0,0,0,2,NO
5009843,F,N,N,0,81000,Commercial associate,Secondary / secondary special,Separated,House / apartment,-17932,-1470,1,0,0,0,1,NO
5009844,M,Y,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,-15901,-130,1,1,0,0,2,NO
5009846,M,N,N,0,225000,Commercial associate,Higher education,Civil marriage,House / apartment,-12282,-405,1,0,1,0,2,NO
5009847,F,N,N,0,99000,Commercial associate,Higher education,Married,House / apartment,-10084,-678,1,0,0,0,2,NO
5009850,M,Y,N,0,360000,Commercial associate,Secondary / secondary special,Separated,With parents,-10276,-556,1,1,1,0,1,NO
5009864,M,Y,N,0,225000,Working,Higher education,Civil marriage,Rented apartment,-14555,-1226,1,1,0,0,2,NO
5009872,M,Y,N,2,427500,Commercial associate,Higher education,Married,House / apartment,-15144,-6400,1,1,0,0,4,NO
5009877,F,N,Y,2,157500,State servant,Higher education,Married,House / apartment,-15499,-1287,1,1,1,0,4,NO
5009879,F,N,Y,2,144000,Working,Secondary / secondary special,Married,Municipal apartment,-9839,-1835,1,1,0,0,4,NO
5009880,F,N,Y,0,157500,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-21635,365243,1,0,1,0,2,NO
5009889,M,Y,Y,0,270000,Working,Secondary / secondary special,Single / not married,House / apartment,-13172,-1195,1,0,0,1,1,NO
5009893,F,Y,N,1,157500,Working,Higher education,Married,House / apartment,-11992,-2351,1,0,0,0,3,NO
5009897,F,Y,Y,2,90000,State servant,Higher education,Married,House / apartment,-11131,-405,1,0,0,0,4,NO
5009900,M,Y,N,0,202500,Working,Secondary / secondary special,Married,House / apartment,-19120,-3661,1,0,0,0,2,NO
5009914,F,N,Y,2,99000,Commercial associate,Higher education,Married,House / apartment,-12752,-433,1,0,1,0,4,NO
5009922,M,Y,Y,0,360000,Working,Higher education,Married,House / apartment,-19958,-7465,1,0,0,0,2,NO
5009934,F,N,Y,2,157500,Working,Secondary / secondary special,Married,House / apartment,-10710,-2351,1,0,0,0,4,NO
5009944,F,N,Y,0,135000,Working,Incomplete higher,Single / not married,House / apartment,-8482,-1501,1,1,0,1,1,NO
5009945,F,Y,N,2,99000,Pensioner,Secondary / secondary special,Married,House / apartment,-12756,365243,1,0,0,1,4,NO
5009946,F,Y,Y,2,90000,State servant,Secondary / secondary special,Married,House / apartment,-12690,-4451,1,0,0,0,4,NO
5009951,M,N,Y,0,90000,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-23083,365243,1,0,0,0,2,NO
5009952,M,Y,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,-16076,-7679,1,0,0,0,2,NO
5009957,F,Y,Y,1,135000,Working,Secondary / secondary special,Married,House / apartment,-16613,-3235,1,0,0,0,3,NO
5009965,F,Y,Y,0,180000,State servant,Secondary / secondary special,Married,House / apartment,-20644,-3873,1,0,0,0,2,NO
5009988,M,Y,Y,0,495000,Pensioner,Higher education,Single / not married,House / apartment,-22867,365243,1,0,0,0,1,NO
5009991,M,Y,N,2,157500,Working,Secondary / secondary special,Married,Office apartment,-14749,-2382,1,0,0,1,4,NO
5009993,F,N,Y,0,135000,Working,Incomplete higher,Married,House / apartment,-16839,-3692,1,0,0,0,2,NO
5009994,M,Y,Y,1,360000,Commercial associate,Secondary / secondary special,Married,House / apartment,-13940,-617,1,0,0,0,3,NO
5009999,F,Y,N,1,157500,Working,Secondary / secondary special,Married,House / apartment,-12330,-2809,1,0,1,1,3,NO
5010001,F,N,Y,2,157500,State servant,Secondary / secondary special,Married,House / apartment,-12242,-2047,1,0,0,0,4,NO
5010005,M,Y,Y,0,157500,Pensioner,Secondary / secondary special,Married,House / apartment,-23322,365243,1,0,0,0,2,NO
5010007,F,N,Y,1,112500,State servant,Incomplete higher,Civil marriage,House / apartment,-10926,-3570,1,0,1,0,3,NO
5010015,F,Y,Y,1,112500,Commercial associate,Secondary / secondary special,Separated,House / apartment,-12896,-709,1,0,0,0,2,NO
5010020,F,N,N,0,99000,Commercial associate,Higher education,Single / not married,With parents,-10833,-2504,1,0,0,1,1,NO
5010023,F,N,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,-20782,-2321,1,0,0,0,2,NO
5010031,M,Y,Y,0,85500,Pensioner,Secondary / secondary special,Married,House / apartment,-22121,365243,1,0,1,0,2,NO
5010036,F,N,Y,0,292500,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-21582,365243,1,0,0,0,2,NO
5010041,F,N,Y,0,67500,Working,Secondary / secondary special,Married,House / apartment,-21889,-8469,1,1,0,0,2,NO
5010052,F,N,Y,0,90000,Working,Secondary / secondary special,Married,House / apartment,-18474,-3021,1,0,0,1,2,NO
5010057,M,Y,Y,0,112500,Working,Secondary / secondary special,Single / not married,House / apartment,-16975,-2504,1,0,1,1,1,NO
5010059,F,N,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,-16573,-4574,1,0,0,0,2,NO
5010067,F,N,Y,0,360000,Working,Secondary / secondary special,Widow,House / apartment,-18388,-7830,1,0,0,0,1,NO
5010070,F,N,Y,0,279000,State servant,Higher education,Single / not married,House / apartment,-11091,-617,1,0,0,1,1,NO
5010072,F,N,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,-16757,-3508,1,0,0,0,2,NO
5010077,M,Y,N,2,157500,Working,Secondary / secondary special,Married,Municipal apartment,-12518,-1135,1,0,0,0,4,NO
5010081,M,N,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,-20931,-191,1,0,1,1,2,NO
5010088,F,Y,Y,0,112500,Working,Incomplete higher,Single / not married,With parents,-8128,-951,1,0,0,1,1,NO
5010089,F,N,N,0,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,-10304,-1682,1,0,0,0,2,NO
5010099,F,Y,Y,2,306000,State servant,Higher education,Married,House / apartment,-13541,-3965,1,0,0,0,4,NO
5010104,F,N,Y,0,166500,Pensioner,Secondary / secondary special,Married,House / apartment,-22578,365243,1,0,0,0,2,NO
5010108,F,Y,Y,0,135000,Pensioner,Secondary / secondary special,Married,House / apartment,-22118,365243,1,0,0,0,2,NO
5010113,F,Y,Y,0,202500,Pensioner,Higher education,Widow,House / apartment,-21269,365243,1,0,0,1,1,NO
5010117,F,N,Y,1,67500,State servant,Secondary / secondary special,Married,Municipal apartment,-15397,-1894,1,1,1,0,3,NO
5010118,M,N,Y,0,180000,Working,Secondary / secondary special,Single / not married,House / apartment,-8363,-525,1,0,0,0,1,NO
