MemberCD,CustomerCD,ClassCD,Score,CityCD
KT202326,CT1126,Bronze,11219,C
KT202327,CT1127,Bronze,7750,Q
KT202328,CT1128,Bronze,7107,S
KT202329,CT1129,Bronze,22331,C
KT202330,CT1130,Bronze,6920,S
KT202331,CT1131,Bronze,7852,C
KT202332,CT1132,Bronze,7020,S
KT202333,CT1133,Bronze,14443,S
KT202334,CT1134,Silver,25961,S
KT202335,CT1135,Silver,12965,S
KT202336,CT1136,Silver,15012,C
KT202337,CT1137,Gold,26254,S
KT202338,CT1138,Gold,53053,S
KT202339,CT1139,Bronze,9190,S
KT202340,CT1140,Gold,79166,C
KT202341,CT1141,Bronze,15218,C
KT202342,CT1142,Bronze,7718,S
KT202343,CT1143,Bronze,15816,S
KT202344,CT1144,Bronze,6721,Q
KT202345,CT1145,Silver,11472,S
KT202346,CT1146,Silver,36721,S
KT202347,CT1147,Bronze,7758,S
KT202348,CT1148,Bronze,34356,S
KT202349,CT1149,Silver,25954,S
KT202350,CT1150,Silver,12948,S
KT202351,CT1151,Silver,12464,S
KT202352,CT1152,Gold,66568,S
KT202353,CT1153,Bronze,7985,S
KT202354,CT1154,Bronze,14450,S
KT202355,CT1155,Bronze,7312,S
KT202356,CT1156,Gold,61318,C
KT202357,CT1157,Bronze,7707,Q
KT202358,CT1158,Bronze,8010,S
KT202359,CT1159,Bronze,8635,S
KT202360,CT1160,Bronze,69523,S
KT202361,CT1161,Bronze,16046,S
KT202362,CT1162,Silver,15700,S
KT202363,CT1163,Bronze,7739,S
KT202364,CT1164,Bronze,8635,S
KT202365,CT1165,Bronze,39676,S
KT202366,CT1166,Bronze,20506,S
KT202367,CT1167,Gold,54973,S
KT202368,CT1168,Bronze,27845,S
KT202369,CT1169,Gold,25898,S
KT202370,CT1170,Bronze,56457,S
KT202371,CT1171,Gold,33429,S
KT202372,CT1172,Bronze,29111,Q
KT202373,CT1173,Bronze,11122,S
KT202374,CT1174,Bronze,7894,S
KT202375,CT1175,Gold,30629,C
KT202376,CT1176,Bronze,7826,S
KT202377,CT1177,Bronze,25439,S
KT202378,CT1178,Gold,28652,C
KT202379,CT1179,Silver,12960,S
KT202380,CT1180,Bronze,-46,S
KT202381,CT1181,Bronze,69550,S
KT202382,CT1182,Silver,15050,C
KT202383,CT1183,Bronze,31368,S
KT202384,CT1184,Silver,38989,S
KT202385,CT1185,Bronze,22011,S
KT202386,CT1186,Gold,49973,S
KT202387,CT1187,Bronze,15473,Q
KT202388,CT1188,Gold,26495,S
KT202389,CT1189,Bronze,15450,Q
KT202390,CT1190,Bronze,7849,S
KT202391,CT1191,Silver,12958,S
KT202392,CT1192,Silver,12971,S
KT202393,CT1193,Bronze,7825,S
KT202394,CT1194,Silver,25987,S
KT202395,CT1195,Gold,27666,C
KT202396,CT1196,Gold,146452,C
KT202397,CT1197,Bronze,7723,Q
KT202398,CT1198,Bronze,8352,S
KT202399,CT1199,Bronze,7723,Q
KT202400,CT1200,Silver,12966,S
KT202401,CT1201,Bronze,9462,S
KT202402,CT1202,Bronze,69523,S
KT202403,CT1203,Bronze,6451,S
KT202404,CT1204,Bronze,7170,C
KT202405,CT1205,Bronze,8022,S
KT202406,CT1206,Bronze,10450,S
KT202407,CT1207,Bronze,15808,S
KT202408,CT1208,Bronze,18751,C
KT202409,CT1209,Bronze,7724,Q
KT202410,CT1210,Gold,30950,C
KT202411,CT1211,Bronze,7016,S
KT202412,CT1212,Silver,20955,S
KT202413,CT1213,Bronze,7218,S
KT202414,CT1214,Silver,12960,S
KT202415,CT1215,Bronze,7723,Q
KT202416,CT1216,Gold,113234,C
KT202417,CT1217,Bronze,7888,S
KT202418,CT1218,Silver,26948,S
KT202419,CT1219,Gold,76249,C
KT202420,CT1220,Silver,10460,S
KT202421,CT1221,Bronze,8024,S
KT202422,CT1222,Silver,12963,S
KT202423,CT1223,Bronze,7989,S
KT202424,CT1224,Bronze,7868,S
KT202425,CT1225,Gold,89952,S
KT202426,CT1226,Bronze,9318,S
KT202427,CT1227,Silver,10471,S
KT202428,CT1228,Bronze,7220,S
KT202429,CT1229,Silver,12972,S
KT202430,CT1230,Bronze,25466,S
KT202431,CT1231,Gold,83430,S
KT202432,CT1232,Bronze,7736,S
KT202433,CT1233,Silver,13431,S
KT202434,CT1234,Bronze,31372,S
KT202435,CT1235,Silver,10466,S
KT202436,CT1236,Bronze,7523,S
KT202437,CT1237,Silver,25946,S
KT202438,CT1238,Silver,26232,S
KT202439,CT1239,Silver,10471,S
KT202440,CT1240,Silver,12232,S
KT202441,CT1241,Bronze,14427,C
KT202442,CT1242,Bronze,15473,Q
KT202443,CT1243,Silver,10461,S
KT202444,CT1244,Bronze,7093,S
KT202445,CT1245,Bronze,7185,C
KT202446,CT1246,Gold,89946,Q
KT202447,CT1247,Bronze,7740,S
KT202448,CT1248,Silver,14466,S
KT202449,CT1249,Gold,52507,S
KT202450,CT1250,Silver,25936,S
KT202451,CT1251,Bronze,7223,S
KT202452,CT1252,Bronze,10423,S
KT202453,CT1253,Gold,26478,S
KT202454,CT1254,Bronze,16060,S
KT202455,CT1255,Bronze,20161,S
KT202456,CT1256,Bronze,15206,C
KT202457,CT1257,Gold,79200,C
KT202458,CT1258,Gold,86460,S
KT202459,CT1259,Gold,512284,C
KT202460,CT1260,Silver,25940,S
KT202461,CT1261,Bronze,7723,Q
KT202462,CT1262,Bronze,31374,S
KT202463,CT1263,Gold,79588,S
KT202464,CT1264,Gold,-50,S
KT202465,CT1265,Bronze,7723,Q
KT202466,CT1266,Silver,10454,S
KT202467,CT1267,Bronze,39661,S
KT202468,CT1268,Bronze,7740,S
KT202469,CT1269,Gold,153394,S
KT202470,CT1270,Gold,135588,S
KT202471,CT1271,Gold,31000,S
KT202472,CT1272,Bronze,-35,S
KT202473,CT1273,Silver,19449,S
KT202474,CT1274,Gold,29653,C
KT202475,CT1275,Bronze,7723,Q
KT202476,CT1276,Gold,77885,S
KT202477,CT1277,Bronze,7695,S
KT202478,CT1278,Silver,-27,S
KT202479,CT1279,Bronze,29108,Q
KT202480,CT1280,Bronze,20205,S
KT202481,CT1281,Bronze,7675,Q
KT202482,CT1282,Bronze,7816,S
KT202483,CT1283,Bronze,9474,S
KT202484,CT1284,Bronze,8021,S
KT202485,CT1285,Gold,25973,S
KT202486,CT1286,Bronze,8619,C
KT202487,CT1287,Bronze,9460,S
KT202488,CT1288,Bronze,7863,S
KT202489,CT1289,Silver,12948,S
KT202490,CT1290,Bronze,7718,Q
KT202491,CT1291,Gold,78814,S
KT202492,CT1292,Gold,91050,C
KT202493,CT1293,Silver,12829,C
KT202494,CT1294,Bronze,8816,S
KT202495,CT1295,Bronze,7861,S
KT202496,CT1296,Gold,27693,C
KT202497,CT1297,Bronze,7196,C
KT202498,CT1298,Gold,151538,S
KT202499,CT1299,Gold,30473,S
KT202500,CT1300,Gold,247460,C
KT202501,CT1301,Bronze,7723,Q
KT202502,CT1302,Bronze,23223,Q
KT202503,CT1303,Bronze,-29,S
KT202504,CT1304,Silver,12323,Q
KT202505,CT1305,Bronze,8023,S
KT202506,CT1306,Gold,151523,S
KT202507,CT1307,Gold,110856,C
KT202508,CT1308,Gold,108873,C
KT202509,CT1309,Silver,23960,C
KT202510,CT1310,Gold,56889,C
KT202511,CT1311,Gold,83124,C
KT202512,CT1312,Gold,262347,C
KT202513,CT1313,Silver,25964,S
KT202514,CT1314,Bronze,7857,S
KT202515,CT1315,Silver,26197,S
KT202516,CT1316,Bronze,7818,S
KT202517,CT1317,Silver,25966,S
KT202518,CT1318,Silver,13936,S
KT202519,CT1319,Gold,164825,S
KT202520,CT1320,Gold,134450,C
KT202521,CT1321,Bronze,7218,S
KT202522,CT1322,Bronze,7858,S
KT202523,CT1323,Silver,12310,Q
KT202524,CT1324,Silver,28968,S
KT202525,CT1325,Bronze,69523,S
KT202526,CT1326,Gold,135587,C
KT202527,CT1327,Bronze,6166,S
KT202528,CT1328,Silver,12954,S
KT202529,CT1329,Bronze,20484,S
KT202530,CT1330,Gold,57953,C
KT202531,CT1331,Bronze,23223,Q
KT202532,CT1332,Gold,28445,S
KT202533,CT1333,Gold,153414,S
KT202534,CT1334,Bronze,17974,S
KT202535,CT1335,Gold,133623,S
KT202536,CT1336,Bronze,7868,S
KT202537,CT1337,Gold,66561,S
KT202538,CT1338,Gold,134449,C
KT202539,CT1339,Bronze,7995,S
KT202540,CT1340,Gold,35445,S
KT202541,CT1341,Silver,25988,S
KT202542,CT1342,Gold,262966,S
KT202543,CT1343,Silver,12962,S
KT202544,CT1344,Silver,12965,S
KT202545,CT1345,Silver,12954,S
KT202546,CT1346,Silver,12966,S
KT202547,CT1347,Silver,12950,S
KT202548,CT1348,Bronze,16073,S
KT202549,CT1349,Bronze,15887,S
KT202550,CT1350,Bronze,8610,S
KT202551,CT1351,Bronze,9192,S
KT202552,CT1352,Gold,34973,S
KT202553,CT1353,Bronze,7204,C
KT202554,CT1354,Bronze,17765,S
KT202555,CT1355,Bronze,7198,C
KT202556,CT1356,Bronze,9462,S
KT202557,CT1357,Gold,54968,S
KT202558,CT1358,Silver,12952,S
KT202559,CT1359,Bronze,7852,Q
KT202560,CT1360,Bronze,7852,Q
KT202561,CT1361,Bronze,27850,S
KT202562,CT1362,Silver,27681,C
KT202563,CT1363,Bronze,14399,C
KT202564,CT1364,Bronze,7005,S
KT202565,CT1365,Bronze,15473,Q
KT202566,CT1366,Bronze,7210,S
KT202567,CT1367,Gold,75180,C
KT202568,CT1368,Bronze,7202,C
KT202569,CT1369,Bronze,7723,Q
KT202570,CT1370,Gold,69266,C
KT202571,CT1371,Gold,55406,C
KT202572,CT1372,Bronze,6467,S
KT202573,CT1373,Bronze,8021,S
KT202574,CT1374,Gold,135601,C
KT202575,CT1375,Bronze,21062,S
KT202576,CT1376,Gold,82143,C
KT202577,CT1377,Bronze,7218,S
KT202578,CT1378,Gold,211463,C
KT202579,CT1379,Bronze,3982,C
KT202580,CT1380,Bronze,7746,S
KT202581,CT1381,Gold,227473,C
KT202582,CT1382,Bronze,15730,C
KT202583,CT1383,Bronze,7883,S
KT202584,CT1384,Gold,51955,S
KT202585,CT1385,Bronze,7868,S
KT202586,CT1386,Silver,73472,S
KT202587,CT1387,Bronze,46889,S
KT202588,CT1388,Silver,12954,S
KT202589,CT1389,Bronze,7702,Q
KT202590,CT1390,Silver,11973,C
KT202591,CT1391,Gold,119954,S
KT202592,CT1392,Bronze,7764,S
KT202593,CT1393,Bronze,7887,S
KT202594,CT1394,Gold,113242,C
KT202595,CT1395,Bronze,16666,S
KT202596,CT1396,Bronze,7763,S
KT202597,CT1397,Bronze,7813,S
KT202598,CT1398,Silver,25944,S
KT202599,CT1399,Silver,10467,S
KT202600,CT1400,Silver,12612,S
KT202601,CT1401,Bronze,7876,S
KT202602,CT1402,Bronze,8014,S
KT202603,CT1403,Bronze,9794,S
KT202604,CT1404,Bronze,15812,S
KT202605,CT1405,Bronze,8632,S
KT202606,CT1406,Silver,20956,S
KT202607,CT1407,Bronze,7689,S
KT202608,CT1408,Silver,18737,S
KT202609,CT1409,Bronze,7744,S
KT202610,CT1410,Bronze,25439,S
KT202611,CT1411,Bronze,7868,S
KT202612,CT1412,Bronze,6831,Q
KT202613,CT1413,Gold,89957,Q
KT202614,CT1414,Silver,-27,S
KT202615,CT1415,Bronze,7871,S
KT202616,CT1416,Bronze,8023,S
KT202617,CT1417,Silver,32456,S
KT202618,CT1418,Silver,12972,S
KT202619,CT1419,Silver,12960,S
KT202620,CT1420,Bronze,24130,S
KT202621,CT1421,Bronze,7868,C
KT202622,CT1422,Bronze,7702,Q
KT202623,CT1423,Bronze,7836,S
KT202624,CT1424,Bronze,14362,S
KT202625,CT1425,Bronze,20184,S
KT202626,CT1426,Bronze,7223,S
KT202627,CT1427,Silver,25962,S
KT202628,CT1428,Silver,25971,S
KT202629,CT1429,Bronze,7723,Q
KT202630,CT1430,Bronze,8008,S
KT202631,CT1431,Gold,26512,S
KT202632,CT1432,Bronze,16073,S
KT202633,CT1433,Silver,25948,S
KT202634,CT1434,Bronze,7098,S
KT202635,CT1435,Gold,55840,S
KT202636,CT1436,Gold,119976,S
KT202637,CT1437,Bronze,34344,S
KT202638,CT1438,Silver,18716,S
KT202639,CT1439,Gold,262926,S
KT202640,CT1440,Silver,10459,S
KT202641,CT1441,Silver,26195,S
KT202642,CT1442,Bronze,9470,S
KT202643,CT1443,Bronze,7740,S
KT202644,CT1444,Silver,12962,S
KT202645,CT1445,Bronze,8085,S
KT202646,CT1446,Gold,81844,S
KT202647,CT1447,Silver,19477,S
KT202648,CT1448,Gold,26506,S
KT202649,CT1449,Bronze,19243,C
KT202650,CT1450,Gold,30438,S
KT202651,CT1451,Silver,27704,S
KT202652,CT1452,Bronze,19939,S
KT202653,CT1453,Gold,27710,C
KT202654,CT1454,Gold,89045,C
KT202655,CT1455,Bronze,8023,S
KT202656,CT1456,Bronze,7856,C
KT202657,CT1457,Gold,26475,S
KT202658,CT1458,Gold,51835,S
KT202659,CT1459,Silver,10440,S
KT202660,CT1460,Bronze,7723,Q
KT202661,CT1461,Gold,26492,S
KT202662,CT1462,Bronze,8006,S
KT202663,CT1463,Gold,38443,S
KT202664,CT1464,Silver,12942,S
KT202665,CT1465,Bronze,8023,S
KT202666,CT1466,Bronze,7002,S
KT202667,CT1467,Silver,-27,S
KT202668,CT1468,Gold,26484,S
KT202669,CT1469,Bronze,7698,Q
KT202670,CT1470,Bronze,19231,C
KT202671,CT1471,Bronze,7223,S
KT202672,CT1472,Bronze,8614,S
KT202673,CT1473,Silver,27707,S
KT202674,CT1474,Silver,13758,C
KT202675,CT1475,Bronze,9805,S
KT202676,CT1476,Gold,51973,S
KT202677,CT1477,Silver,20956,S
KT202678,CT1478,Bronze,7006,S
KT202679,CT1479,Bronze,7488,S
KT202680,CT1480,Bronze,12275,S
KT202681,CT1481,Bronze,46881,S
KT202682,CT1482,Silver,-27,S
KT202683,CT1483,Bronze,7990,S
KT202684,CT1484,Bronze,9514,S
KT202685,CT1485,Gold,91044,C
KT202686,CT1486,Bronze,25439,S
KT202687,CT1487,Gold,89955,S
KT202688,CT1488,Gold,29632,C
KT202689,CT1489,Bronze,8010,S
KT202690,CT1490,Bronze,15881,S
KT202691,CT1491,Bronze,19939,S
KT202692,CT1492,Bronze,7219,S
KT202693,CT1493,Gold,30435,S
KT202694,CT1494,Gold,49423,C
KT202695,CT1495,Bronze,8019,S
KT202696,CT1496,Bronze,14431,C
KT202697,CT1497,Gold,78202,C
KT202698,CT1498,Bronze,15073,S
KT202699,CT1499,Gold,151515,S
KT202700,CT1500,Bronze,7761,S
KT202701,CT1501,Bronze,8635,S
KT202702,CT1502,Bronze,7719,Q
KT202703,CT1503,Bronze,7602,Q
KT202704,CT1504,Bronze,9540,S
KT202705,CT1505,Gold,86474,S
KT202706,CT1506,Gold,108872,C
KT202707,CT1507,Silver,25957,S
KT202708,CT1508,Gold,26523,S
KT202709,CT1509,Bronze,22487,S
KT202710,CT1510,Bronze,56459,S
KT202711,CT1511,Bronze,7711,Q
KT202712,CT1512,Bronze,8023,S
KT202713,CT1513,Gold,26241,S
KT202714,CT1514,Gold,59336,C
KT202715,CT1515,Bronze,7461,S
KT202716,CT1516,Gold,33963,S
KT202717,CT1517,Silver,10456,S
KT202718,CT1518,Bronze,24123,Q
KT202719,CT1519,Silver,25954,S
KT202720,CT1520,Bronze,7853,S
KT202721,CT1521,Gold,93460,S
KT202722,CT1522,Bronze,7863,S
KT202723,CT1523,Bronze,7198,C
KT202724,CT1524,Gold,57925,C
KT202725,CT1525,Bronze,7202,C
KT202726,CT1526,Bronze,7700,Q
KT202727,CT1527,Silver,10440,S
KT202728,CT1528,Gold,221752,S
KT202729,CT1529,Bronze,7876,S
KT202730,CT1530,Silver,11467,S
KT202731,CT1531,Silver,25988,S
KT202732,CT1532,Bronze,7202,C
KT202733,CT1533,Bronze,7202,C
KT202734,CT1534,Bronze,22331,C
KT202735,CT1535,Bronze,8622,S
KT202736,CT1536,Silver,26233,S
KT202737,CT1537,Gold,26495,S
KT202738,CT1538,Gold,106385,C
KT202739,CT1539,Bronze,14473,S
KT202740,CT1540,Gold,49468,C
KT202741,CT1541,Gold,70954,S
KT202742,CT1542,Bronze,31256,S
KT202743,CT1543,Bronze,31254,S
KT202744,CT1544,Silver,25958,S
KT202745,CT1545,Gold,106365,C
KT202746,CT1546,Gold,25926,S
KT202747,CT1547,Silver,25971,S
KT202748,CT1548,Silver,13835,C
KT202749,CT1549,Bronze,20482,S
KT202750,CT1550,Silver,36732,S
KT202751,CT1551,Gold,110856,C
KT202752,CT1552,Silver,25963,S
KT202753,CT1553,Bronze,7802,Q
KT202754,CT1554,Bronze,7193,C
KT202755,CT1555,Bronze,7743,S
KT202756,CT1556,Gold,26478,S
KT202757,CT1557,Gold,39542,C
KT202758,CT1558,Gold,227498,C
KT202759,CT1559,Gold,79601,S
KT202760,CT1560,Bronze,17354,S
KT202761,CT1561,Bronze,7723,Q
KT202762,CT1562,Bronze,7845,S
KT202763,CT1563,Silver,13462,S
KT202764,CT1564,Bronze,8023,S
KT202765,CT1565,Bronze,8023,S
KT202766,CT1566,Bronze,24116,S
KT202767,CT1567,Bronze,7866,S
KT202768,CT1568,Bronze,21036,S
KT202769,CT1569,Bronze,7202,C
KT202770,CT1570,Bronze,7812,S
KT202771,CT1571,Silver,10428,S
KT202772,CT1572,Gold,51416,S
KT202773,CT1573,Gold,26341,S
KT202774,CT1574,Bronze,7723,Q
KT202775,CT1575,Bronze,8024,S
KT202776,CT1576,Bronze,14471,S
KT202777,CT1577,Silver,12956,S
KT202778,CT1578,Gold,55851,S
KT202779,CT1579,Bronze,14431,C
KT202780,CT1580,Bronze,7883,S
KT202781,CT1581,Silver,29965,S
KT202782,CT1582,Gold,110834,C
KT202783,CT1583,Silver,25936,S
KT202784,CT1584,Gold,40079,C
KT202785,CT1585,Bronze,8685,C
KT202786,CT1586,Gold,79622,S
KT202787,CT1587,Silver,14943,S
KT202788,CT1588,Gold,79130,C
KT202789,CT1589,Bronze,8018,S
KT202790,CT1590,Bronze,8023,S
KT202791,CT1591,Bronze,7080,S
KT202792,CT1592,Gold,78204,C
KT202793,CT1593,Bronze,7193,S
KT202794,CT1594,Bronze,7723,Q
KT202795,CT1595,Silver,25953,S
KT202796,CT1596,Bronze,24104,S
KT202797,CT1597,Silver,32973,S
KT202798,CT1598,Bronze,-59,S
KT202799,CT1599,Bronze,7198,C
KT202800,CT1600,Gold,56870,C
KT202801,CT1601,Silver,26966,S
KT202802,CT1602,Bronze,7868,S
KT202803,CT1603,Gold,42373,S
KT202804,CT1604,Bronze,7996,S
KT202805,CT1605,Gold,26505,C
KT202806,CT1606,Bronze,15504,S
KT202807,CT1607,Bronze,7855,S
KT202808,CT1608,Gold,30463,S
KT202809,CT1609,Silver,41547,C
KT202810,CT1610,Gold,153412,S
KT202811,CT1611,Bronze,31226,S
KT202812,CT1612,Bronze,7023,S
KT202813,CT1613,Bronze,15473,Q
KT202814,CT1614,Bronze,7723,Q
KT202815,CT1615,Bronze,8005,S
KT202816,CT1616,Silver,64966,S
KT202817,CT1617,Bronze,14356,S
KT202818,CT1618,Bronze,16064,S
KT202819,CT1619,Silver,38986,S
KT202820,CT1620,Silver,10464,S
KT202821,CT1621,Bronze,14417,C
KT202822,CT1622,Gold,52502,S
KT202823,CT1623,Bronze,15711,C
KT202824,CT1624,Bronze,7823,S
KT202825,CT1625,Bronze,16069,S
KT202826,CT1626,Gold,32249,S
KT202827,CT1627,Silver,12283,Q
KT202828,CT1628,Gold,77927,S
KT202829,CT1629,Bronze,7859,S
KT202830,CT1630,Bronze,7706,Q
KT202831,CT1631,Gold,29910,S
KT202832,CT1632,Bronze,6993,S
KT202833,CT1633,Gold,30458,C
KT202834,CT1634,Gold,-27,S
KT202835,CT1635,Bronze,27881,S
KT202836,CT1636,Silver,12962,S
KT202837,CT1637,Bronze,7883,S
KT202838,CT1638,Silver,26209,S
KT202839,CT1639,Bronze,39636,S
KT202840,CT1640,Bronze,16073,S
KT202841,CT1641,Bronze,7824,S
KT202842,CT1642,Gold,69266,C
KT202843,CT1643,Bronze,27888,S
KT202844,CT1644,Bronze,56468,S
KT202845,CT1645,Bronze,19231,C
KT202846,CT1646,Gold,76671,C
KT202847,CT1647,Bronze,7866,S
KT202848,CT1648,Gold,35434,C
KT202849,CT1649,Bronze,7523,S
KT202850,CT1650,Bronze,7517,S
KT202851,CT1651,Bronze,7868,S
KT202852,CT1652,Silver,22972,S
KT202853,CT1653,Bronze,8402,S
KT202854,CT1654,Bronze,7802,Q
KT202855,CT1655,Bronze,6722,Q
KT202856,CT1656,Silver,73466,S
KT202857,CT1657,Bronze,7868,S
KT202858,CT1658,Bronze,15458,Q
KT202859,CT1659,Silver,12967,S
KT202860,CT1660,Gold,113207,C
KT202861,CT1661,Gold,133590,S
KT202862,CT1662,Bronze,7175,C
KT202863,CT1663,Gold,25530,S
KT202864,CT1664,Bronze,7449,S
KT202865,CT1665,Bronze,7895,S
KT202866,CT1666,Silver,73458,S
KT202867,CT1667,Silver,12965,S
KT202868,CT1668,Bronze,7748,S
KT202869,CT1669,Bronze,7997,S
KT202870,CT1670,Gold,51973,S
KT202871,CT1671,Silver,38950,S
KT202872,CT1672,Gold,51959,S
KT202873,CT1673,Silver,10420,S
KT202874,CT1674,Silver,12959,S
KT202875,CT1675,Silver,-27,S
KT202876,CT1676,Bronze,7747,S
KT202877,CT1677,Bronze,8016,S
KT202878,CT1678,Bronze,9813,S
KT202879,CT1679,Bronze,46847,S
KT202880,CT1680,Gold,512283,C
KT202881,CT1681,Bronze,8110,Q
KT202882,CT1682,Gold,76692,C
KT202883,CT1683,Bronze,9195,S
KT202884,CT1684,Bronze,46876,S
KT202885,CT1685,Silver,38930,S
KT202886,CT1686,Silver,41544,C
KT202887,CT1687,Bronze,39663,S
KT202888,CT1688,Bronze,10141,S
KT202889,CT1689,Bronze,7767,S
KT202890,CT1690,Gold,211312,S
KT202891,CT1691,Gold,56959,S
KT202892,CT1692,Bronze,13402,C
KT202893,CT1693,Bronze,56468,S
KT202894,CT1694,Bronze,7190,C
KT202895,CT1695,Gold,26480,S
KT202896,CT1696,Silver,13438,S
KT202897,CT1697,Bronze,7996,S
KT202898,CT1698,Bronze,7706,Q
KT202899,CT1699,Gold,110824,C
KT202900,CT1700,Bronze,7598,S
KT202901,CT1701,Gold,227497,C
KT202902,CT1702,Gold,26242,S
KT202903,CT1703,Bronze,14426,C
KT202904,CT1704,Bronze,7706,Q
KT202905,CT1705,Bronze,7818,S
KT202906,CT1706,Silver,25951,S
KT202907,CT1707,Silver,13445,S
KT202908,CT1708,Gold,26235,S
KT202909,CT1709,Gold,151518,S
KT202910,CT1710,Bronze,15218,C
