Order_ID,Order_Date,Gender,Product,Quantity,Total_Sales_USD,Payment_Method,State,Sales_Channel
ORD-00073,2025-09-01,M,,,10782.94,Bank Transfer,TX,
ORD-00074,2025-05-03,M,Handbag,,6634.83,Apple Pay,FL,
ORD-00075,2025-06-13,F,Tablet,4,1688.55,Credit Card,NY,
ORD-00076,2025-12-28,M,Sneakers,7,7329.32,PayPal,CA,
ORD-00077,2025-08-01,F,Tent,6,4938.39,Credit Card,NY,
ORD-00078,2025-01-11,F,Tent,10,14201.72,Bank Transfer,FL,
ORD-00079,2025-08-03,M,Tablet,5,5675.72,PayPal,FL,In-Store
ORD-00080,2025-07-19,M,Handbag,7,5171.25,Apple Pay,FL,
ORD-00081,2025-10-01,F,T-shirt,3,,Credit Card,FL,
ORD-00082,2025-08-25,F,Laptop,7,,PayPal,CA,
ORD-00083,2025-06-17,F,Blender,6,1999.54,Apple Pay,FL,
ORD-00084,2025-08-29,F,Blender,5,6278.34,Credit Card,IL,In-Store
ORD-00085,2025-11-30,M,Tablet,4,3928.85,Credit Card,CA,
ORD-00086,2025-05-03,F,Sneakers,1,939.58,PayPal,,
ORD-00087,2025-05-12,F,Camera,4,2833,Apple Pay,NY,
ORD-00088,2025-01-14,,Smartphone,5,899.93,,IL,
ORD-00089,2025-12-20,M,Tent,4,529.9,PayPal,CA,Online
ORD-00090,2025-10-17,F,Microwave,2,2396.83,Credit Card,,
ORD-00091,2025-06-24,M,Dumbbell,2,1537.64,Credit Card,FL,In-Store
ORD-00092,2025-11-22,F,Treadmill,7,10093.76,Bank Transfer,NY,
ORD-00093,2025-05-19,F,Bike,9,13040.11,Bank Transfer,FL,
ORD-00094,2025-05-06,M,Yoga Mat,5,2485.05,Credit Card,TX,Online
ORD-00095,2025-12-09,F,Bike,8,6907.02,Bank Transfer,TX,
ORD-00096,2025-04-19,F,Headphones,6,1734.74,Apple Pay,TX,
ORD-00097,2025-05-22,F,Desk,10,10577.52,Credit Card,,
ORD-00098,2025-09-08,F,Jacket,4,4342.84,PayPal,FL,
ORD-00099,2025-04-24,,,1,157.72,,NY,
ORD-00100,2025-09-29,F,Microwave,6,4322.55,Apple Pay,,
ORD-00101,2025-05-09,F,,,3367.65,PayPal,CA,
ORD-00102,2025-12-20,F,Handbag,2,2238.93,PayPal,NY,
ORD-00103,2025-09-26,F,T-shirt,5,5461.93,Apple Pay,CA,
ORD-00104,2025-06-04,F,Handbag,4,2216.42,Credit Card,IL,
ORD-00105,2025-10-11,F,Handbag,1,1461.96,Apple Pay,NY,
ORD-00106,2025-08-29,F,Treadmill,1,869.62,Bank Transfer,FL,
ORD-00107,2025-09-02,F,Sofa,1,393.67,Credit Card,CA,Online
ORD-00108,2025-12-18,,Tent,2,1747.98,,,
ORD-00109,2025-05-08,M,Jeans,5,730.34,Credit Card,IL,Online
ORD-00110,2025-04-26,M,Yoga Mat,10,11902.96,Bank Transfer,FL,
ORD-00111,2025-06-06,M,Dumbbell,10,14852.46,Credit Card,IL,
ORD-00112,2025-02-11,F,Smartphone,4,1646.71,PayPal,NY,
ORD-00113,2025-07-29,M,Jeans,2,503.34,Bank Transfer,IL,
ORD-00114,2025-12-28,M,Dumbbell,1,362.58,Apple Pay,FL,
ORD-00115,2025-11-17,M,Smartphone,5,5929.93,PayPal,FL,
ORD-00116,2025-05-17,F,Camera,4,3914,PayPal,CA,
ORD-00117,2025-10-19,M,Smartphone,5,4503.33,Apple Pay,FL,Mobile
ORD-00118,2025-05-20,,Headphones,5,5278.03,,FL,
ORD-00119,2025-06-15,M,Camera,1,,Apple Pay,CA,
ORD-00120,2025-01-11,M,Smartphone,10,8889.42,Apple Pay,IL,In-Store
ORD-00121,2025-08-15,F,Smartphone,8,6304.53,Apple Pay,NY,
ORD-00122,2025-07-29,M,Tent,2,1431.23,Apple Pay,TX,
ORD-00123,2025-09-11,,Smartphone,6,3775.41,,FL,
ORD-00124,2025-06-15,M,Headphones,2,970.97,Credit Card,FL,Mobile
ORD-00125,2025-04-07,F,Camera,8,5052.85,Apple Pay,IL,In-Store
ORD-00126,2025-10-09,F,Tent,1,321.27,PayPal,TX,
ORD-00127,2025-11-19,M,Tent,2,125.45,PayPal,NY,
ORD-00128,2025-02-17,F,Microwave,1,837.33,PayPal,CA,Online
ORD-00129,2025-05-30,M,,3,2272.79,Apple Pay,FL,
ORD-00130,2025-03-16,F,Tent,4,2784.18,Bank Transfer,,
ORD-00131,2025-08-01,F,Jacket,5,5817.8,Apple Pay,IL,
ORD-00132,2025-10-28,M,Air Fryer,5,,Bank Transfer,NY,
ORD-00133,2025-10-10,M,Yoga Mat,8,4246.27,Bank Transfer,FL,
ORD-00134,2025-04-30,F,Sofa,4,3465.04,Bank Transfer,CA,
ORD-00135,2025-12-06,F,Blender,7,4139.78,PayPal,FL,
ORD-00136,2025-06-19,F,Smartphone,,13038.51,Credit Card,,
ORD-00137,2025-03-15,F,Camera,8,,Bank Transfer,NY,In-Store
ORD-00138,2025-12-21,F,Headphones,5,2605.35,Bank Transfer,CA,
ORD-00139,2025-11-17,F,Microwave,7,10024.89,Bank Transfer,IL,
ORD-00140,2025-12-17,,Camera,2,734.92,,NY,
ORD-00141,2025-12-27,M,Headphones,2,2290.69,Credit Card,FL,
ORD-00142,2025-01-29,M,Handbag,1,88.07,Apple Pay,TX,
ORD-00143,2025-07-30,F,Blender,3,1144.24,PayPal,NY,
ORD-00144,2025-11-14,M,Jacket,10,13088.43,PayPal,FL,Online
ORD-00145,2025-08-24,F,Sneakers,8,7712.79,Apple Pay,CA,In-Store
ORD-00146,2025-08-15,F,,9,2284.24,Apple Pay,IL,
ORD-00147,2025-06-04,M,Blender,5,3480.59,PayPal,FL,
ORD-00148,2025-07-03,M,Treadmill,4,2337.68,Apple Pay,TX,
ORD-00149,2025-12-18,F,Headphones,5,159.92,Credit Card,IL,Online
ORD-00150,2025-06-30,F,Dumbbell,4,3673.82,PayPal,NY,Mobile
ORD-00151,2025-11-27,M,Sofa,2,2714.07,Credit Card,TX,
ORD-00152,2025-03-09,F,Treadmill,10,5599.95,Credit Card,,
ORD-00153,2025-10-04,F,Blender,3,951.53,Apple Pay,IL,In-Store
ORD-00154,2025-09-04,M,Sofa,5,6863.96,Apple Pay,TX,
ORD-00155,2025-04-26,F,Headphones,2,456.64,Bank Transfer,IL,
ORD-00156,2025-10-02,M,Air Fryer,7,284.2,Credit Card,,
ORD-00157,2025-11-23,F,Desk,10,5839.18,Apple Pay,CA,
ORD-00158,2025-10-15,,T-shirt,1,936.93,,IL,In-Store
ORD-00159,2025-06-04,F,Jacket,8,10927.15,Bank Transfer,CA,Mobile
ORD-00160,2025-09-10,M,Jacket,,470.46,Credit Card,CA,
ORD-00161,2025-07-09,M,Jeans,3,1785.59,Bank Transfer,IL,
ORD-00162,2025-11-12,,T-shirt,2,2507.73,,TX,
ORD-00163,2025-05-01,F,Tablet,4,2704.83,Apple Pay,CA,
ORD-00164,2025-05-22,M,Microwave,6,657.68,PayPal,CA,
ORD-00165,2025-11-02,,Treadmill,4,3878.89,,CA,
ORD-00166,2025-04-16,F,Sofa,3,3554.18,Credit Card,IL,
ORD-00167,2025-04-30,M,Jeans,4,4893.27,Apple Pay,NY,
ORD-00168,2025-10-04,M,Tablet,3,4444.62,Apple Pay,NY,
ORD-00169,2025-05-02,M,,,125.98,Apple Pay,CA,
ORD-00170,2025-08-04,F,Handbag,1,207.6,Credit Card,CA,
ORD-00171,2025-02-25,M,Tent,6,4677.55,Bank Transfer,IL,
ORD-00172,2025-12-04,M,,1,,Apple Pay,FL,In-Store
ORD-00173,2025-08-07,M,Laptop,8,10192.01,Credit Card,FL,
ORD-00174,2025-03-17,M,Treadmill,2,993.45,Credit Card,NY,
ORD-00175,2025-06-16,F,Microwave,10,8315.68,Bank Transfer,IL,Mobile
ORD-00176,2025-02-20,F,Blender,9,8244.28,Credit Card,IL,Mobile
ORD-00177,2025-07-31,F,T-shirt,8,10675,Apple Pay,FL,
ORD-00178,2025-06-10,M,Tent,2,965.14,Apple Pay,TX,Online
ORD-00179,2025-02-13,F,T-shirt,2,310.03,Credit Card,FL,
ORD-00180,2025-10-28,M,Tablet,3,2530.29,Apple Pay,CA,
ORD-00181,2025-01-27,F,Dumbbell,7,9133.43,Apple Pay,IL,
ORD-00182,2025-04-19,F,Desk,2,1750.64,PayPal,FL,
ORD-00183,2025-07-08,M,Jacket,6,,Credit Card,TX,
ORD-00184,2025-11-15,F,T-shirt,9,13160.96,Credit Card,IL,
ORD-00185,2025-06-08,F,Air Fryer,3,1273.32,Apple Pay,TX,
ORD-00186,2025-07-25,M,Smartphone,3,2574.47,Credit Card,NY,
ORD-00187,2025-08-03,F,Laptop,9,3045.57,Bank Transfer,TX,
ORD-00188,2025-10-18,F,Handbag,,5439.81,Credit Card,CA,
ORD-00189,2025-02-11,M,Sneakers,10,936.48,Apple Pay,FL,
ORD-00190,2025-05-20,M,Tent,10,6742.25,PayPal,IL,In-Store
ORD-00191,2025-12-14,F,Tablet,,1288.82,Bank Transfer,IL,In-Store
ORD-00192,2025-11-03,F,Air Fryer,4,2419.96,Credit Card,CA,In-Store
ORD-00193,2025-05-11,F,Handbag,4,4622.71,Apple Pay,TX,
ORD-00194,2025-03-31,F,Laptop,8,9004.65,PayPal,FL,In-Store
ORD-00195,2025-07-01,M,Jeans,,11280.28,Credit Card,FL,
ORD-00196,2025-02-09,M,Headphones,1,700.44,Apple Pay,IL,
ORD-00197,2025-08-02,M,Yoga Mat,7,7490.41,Apple Pay,,
ORD-00198,2025-11-13,M,Treadmill,6,1646.23,Bank Transfer,TX,
ORD-00199,2025-10-29,F,Headphones,2,760.22,Bank Transfer,IL,
ORD-00200,2025-04-24,F,Headphones,5,5618.96,Apple Pay,NY,
ORD-00201,2025-04-10,M,Camera,2,1610.59,Apple Pay,TX,Mobile
ORD-00202,2025-04-12,F,Sneakers,,473.47,PayPal,IL,
ORD-00203,2025-11-18,F,Jacket,,4283.74,Bank Transfer,FL,
ORD-00204,2025-11-18,F,Yoga Mat,10,,Apple Pay,NY,Online
ORD-00205,2025-06-05,M,Treadmill,8,5395.74,Apple Pay,IL,
ORD-00206,2025-08-25,F,,9,1168.22,Bank Transfer,CA,
ORD-00207,2025-02-16,F,Tablet,5,667.81,Bank Transfer,FL,
ORD-00208,2025-06-14,F,Headphones,10,9847.19,Bank Transfer,IL,
ORD-00209,2025-06-25,F,,8,1385.46,Credit Card,IL,
ORD-00210,2025-08-13,M,Jacket,4,4269.12,PayPal,,
ORD-00211,2025-06-23,M,Desk,7,4374.85,Credit Card,TX,
ORD-00212,2025-07-17,M,Tablet,2,1691.57,Apple Pay,TX,
ORD-00213,2025-03-14,F,Handbag,2,,Apple Pay,TX,
ORD-00214,2025-02-13,F,Bike,10,10690.74,Apple Pay,IL,
ORD-00215,2025-12-17,F,Dumbbell,3,3035.32,Credit Card,FL,
ORD-00216,2025-04-20,M,Air Fryer,6,2862.73,Apple Pay,FL,Mobile
ORD-00217,2025-06-01,M,Sneakers,3,747.96,Credit Card,,
ORD-00218,2025-07-12,,Tablet,10,2139.53,,NY,
ORD-00219,2025-01-23,F,Jeans,3,3262.05,Bank Transfer,TX,
ORD-00220,2025-08-18,F,T-shirt,10,4416.93,PayPal,IL,
ORD-00221,2025-04-10,F,Handbag,8,10863.06,Apple Pay,IL,
ORD-00222,2025-09-15,M,Tent,5,5858.12,Bank Transfer,NY,
ORD-00223,2025-01-27,M,Jeans,3,,Bank Transfer,TX,Online
ORD-00224,2025-03-24,,Camera,2,883.79,,FL,Online
ORD-00225,2025-04-24,F,T-shirt,2,,Bank Transfer,TX,
ORD-00226,2025-07-11,M,Headphones,1,606.75,PayPal,FL,Online
ORD-00227,2025-02-20,M,Tablet,4,246.87,Apple Pay,NY,
ORD-00228,2025-08-30,F,Jacket,5,6888.73,PayPal,FL,
ORD-00229,2025-01-10,M,Yoga Mat,1,1360.67,Apple Pay,NY,
ORD-00230,2025-02-26,M,Jeans,10,8011.02,Apple Pay,NY,
ORD-00231,2025-11-24,F,Air Fryer,1,372.89,Bank Transfer,CA,Mobile
ORD-00232,2025-11-20,F,Headphones,10,,PayPal,NY,
ORD-00233,2025-05-04,M,Blender,1,929.92,Bank Transfer,NY,
ORD-00234,2025-09-27,,Camera,,720.99,,FL,Mobile
ORD-00235,2025-05-10,M,Treadmill,7,10303.57,Credit Card,,
ORD-00236,2025-11-18,M,Tablet,4,4419.01,Credit Card,IL,
ORD-00237,2025-06-23,M,Sofa,1,541.4,PayPal,,
ORD-00238,2025-08-23,M,,3,340.17,Credit Card,TX,In-Store
ORD-00239,2025-06-11,M,Jacket,4,,Apple Pay,IL,Mobile
ORD-00240,2025-11-28,F,Yoga Mat,8,3159.23,PayPal,TX,
ORD-00241,2025-07-08,M,Air Fryer,6,2546.16,Bank Transfer,FL,
ORD-00242,2025-09-12,M,Tent,6,,Bank Transfer,TX,
ORD-00243,2025-11-05,M,Air Fryer,7,957.68,PayPal,IL,Online
ORD-00244,2025-12-05,F,Desk,2,277,Apple Pay,TX,
ORD-00245,2025-08-16,M,,7,1866.44,Apple Pay,FL,
ORD-00246,2025-05-21,M,Tablet,10,14972.63,Credit Card,CA,Mobile
ORD-00247,2025-12-14,M,Dumbbell,9,,PayPal,CA,
ORD-00248,2025-02-04,M,Jeans,,572.02,PayPal,TX,
ORD-00249,2025-03-20,F,Blender,10,679.3,Bank Transfer,TX,
ORD-00250,2025-09-29,F,Blender,2,1738.81,Apple Pay,FL,Online
ORD-00251,2025-01-14,M,Desk,4,,PayPal,FL,
ORD-00252,2025-05-14,M,Yoga Mat,2,814.86,Bank Transfer,NY,
ORD-00253,2025-02-07,M,Blender,4,806.01,Bank Transfer,NY,
ORD-00254,2025-12-30,M,Treadmill,6,6050.42,Credit Card,IL,
ORD-00255,2025-12-25,M,Desk,3,3220.43,PayPal,TX,
ORD-00256,2025-05-02,F,Jacket,4,4769.03,Bank Transfer,CA,
ORD-00257,2025-10-10,F,Microwave,10,5659.89,PayPal,IL,In-Store
ORD-00258,2025-09-03,M,Laptop,5,3046.38,Bank Transfer,FL,
ORD-00259,2025-08-19,M,Smartphone,,5823.97,Bank Transfer,IL,
ORD-00260,2025-04-04,M,Sofa,9,8702.06,PayPal,FL,
ORD-00261,2025-03-26,M,Laptop,9,2218.17,PayPal,TX,
ORD-00262,2025-02-10,F,Handbag,9,12100.41,Apple Pay,NY,Mobile
ORD-00263,2025-02-17,M,Sofa,5,4646.77,PayPal,IL,
ORD-00264,2025-11-06,,Sneakers,10,10865.36,,IL,
ORD-00265,2025-11-25,F,Laptop,,174.57,Apple Pay,NY,
ORD-00266,2025-11-18,,Yoga Mat,,757.1,,TX,
ORD-00267,2025-02-07,M,Bike,7,3221.41,Credit Card,NY,
ORD-00268,2025-06-24,F,Tent,8,5659,PayPal,TX,
ORD-00269,2025-07-09,F,Desk,7,1494.74,Credit Card,TX,Online
ORD-00270,2025-05-07,M,T-shirt,2,831.72,PayPal,CA,In-Store
ORD-00271,2025-08-03,F,Tablet,7,9092.74,PayPal,NY,
ORD-00272,2025-03-23,,Microwave,6,1805.73,,IL,Mobile
ORD-00273,2025-02-16,M,Tent,5,3780.54,Bank Transfer,IL,
ORD-00274,2025-01-25,M,Bike,,3533.4,Credit Card,TX,
ORD-00275,2025-01-05,F,Yoga Mat,8,3543.26,Credit Card,FL,
ORD-00276,2025-07-07,M,Handbag,6,6903.05,Credit Card,FL,
ORD-00277,2025-10-11,F,Camera,9,2772.81,Apple Pay,CA,
ORD-00278,2025-05-24,F,Yoga Mat,8,9210.54,Credit Card,NY,
ORD-00279,2025-06-23,M,Headphones,6,7178.69,Apple Pay,NY,
ORD-00280,2025-01-21,F,Jeans,9,,Credit Card,CA,
ORD-00281,2025-03-18,F,Handbag,8,6308.9,PayPal,TX,
ORD-00282,2025-06-03,F,Sofa,7,10402.78,Apple Pay,IL,In-Store
ORD-00283,2025-01-09,F,Yoga Mat,5,3614.21,Apple Pay,TX,
ORD-00284,2025-12-19,M,Headphones,,,Credit Card,,
ORD-00285,2025-01-27,F,Dumbbell,10,8748.99,Bank Transfer,NY,
ORD-00286,2025-12-25,M,,4,266.9,Credit Card,NY,
ORD-00287,2025-07-31,F,Headphones,6,3838.77,PayPal,FL,In-Store
ORD-00288,2025-10-15,F,Treadmill,3,2362.95,Apple Pay,FL,
ORD-00289,2025-09-30,M,Dumbbell,,2100.91,Apple Pay,IL,
ORD-00290,2025-05-07,M,Desk,,7365.87,Apple Pay,IL,Online
ORD-00291,2025-12-27,,,5,5806.69,,FL,
ORD-00292,2025-05-21,M,,6,5097.13,Apple Pay,CA,
ORD-00293,2025-03-16,F,Tent,6,8596.93,Apple Pay,CA,
ORD-00294,2025-12-02,M,Air Fryer,6,8325.21,Apple Pay,FL,In-Store
ORD-00295,2025-10-15,F,Sneakers,9,,Apple Pay,NY,
ORD-00296,2025-01-26,,Camera,10,,,NY,
ORD-00297,2025-08-30,F,Laptop,7,3561.84,Credit Card,NY,
ORD-00298,2025-09-01,M,Camera,3,,Bank Transfer,NY,
ORD-00299,2025-02-15,M,Desk,5,4879.64,PayPal,IL,
ORD-00300,2025-04-01,M,Smartphone,7,9280.06,Credit Card,FL,
ORD-00301,2025-01-05,F,Bike,,6587.9,Apple Pay,IL,
ORD-00302,2025-11-25,M,Tablet,5,3462.18,Bank Transfer,NY,Online
ORD-00303,2025-06-19,M,Dumbbell,,4868.18,PayPal,FL,Mobile
ORD-00304,2025-06-01,F,Sofa,1,1110.19,PayPal,NY,
ORD-00305,2025-07-25,M,Tent,9,4547.98,Credit Card,NY,In-Store
ORD-00306,2025-01-04,M,T-shirt,6,8430.13,Apple Pay,FL,
ORD-00307,2025-06-04,F,T-shirt,5,,Credit Card,TX,
ORD-00308,2025-08-27,,Sofa,1,1008.32,,NY,
ORD-00309,2025-11-24,M,Yoga Mat,5,5208.15,Apple Pay,TX,In-Store
ORD-00310,2025-08-21,F,Sneakers,3,2183.13,Apple Pay,FL,Online
ORD-00311,2025-12-15,F,Yoga Mat,4,4590.21,Credit Card,IL,
ORD-00312,2025-10-16,M,Yoga Mat,6,813.55,Credit Card,CA,In-Store
ORD-00313,2025-06-17,M,,9,2176.03,Bank Transfer,CA,
ORD-00314,2025-09-19,,Jeans,8,1236.75,,CA,Mobile
ORD-00315,2025-10-16,F,Bike,9,5713.46,Credit Card,IL,Online
ORD-00316,2025-01-02,M,Dumbbell,1,606,PayPal,IL,
ORD-00317,2025-02-02,F,Laptop,7,3709.32,Credit Card,CA,Online
ORD-00318,2025-03-11,,Treadmill,5,3125.62,,,
ORD-00319,2025-12-16,F,Tent,7,4031.69,PayPal,TX,
ORD-00320,2025-03-07,F,Smartphone,,5415.54,PayPal,CA,
ORD-00321,2025-10-06,F,Tablet,8,8134.24,Bank Transfer,IL,
ORD-00322,2025-03-21,,Bike,4,2806.9,,NY,In-Store
ORD-00323,2025-01-09,M,Laptop,7,6510.6,PayPal,NY,
ORD-00324,2025-11-03,F,Laptop,10,696.93,Credit Card,NY,
ORD-00325,2025-04-22,F,Headphones,8,2934.58,Credit Card,NY,Mobile
ORD-00326,2025-11-03,M,Sofa,10,4919.77,Apple Pay,NY,Mobile
ORD-00327,2025-06-03,M,Sofa,9,3124.29,Apple Pay,,
ORD-00328,2025-06-26,F,T-shirt,9,,Bank Transfer,IL,Mobile
ORD-00329,2025-07-12,M,Blender,7,1685.89,PayPal,IL,
ORD-00330,2025-12-29,F,Bike,4,,PayPal,FL,Online
ORD-00331,2025-10-13,M,Camera,7,10166.26,PayPal,FL,
ORD-00332,2025-02-10,F,Handbag,4,,Bank Transfer,TX,
ORD-00333,2025-07-13,F,,4,385.1,Credit Card,CA,
ORD-00334,2025-04-17,F,Jeans,9,3070.66,Apple Pay,TX,
ORD-00335,2025-03-02,F,,4,5775.5,Bank Transfer,NY,
ORD-00336,2025-05-25,F,,4,3348.31,Bank Transfer,,
ORD-00337,2025-09-12,M,Desk,5,2761.37,Bank Transfer,CA,
ORD-00338,2025-07-31,F,Dumbbell,4,2274.57,Credit Card,IL,Mobile
ORD-00339,2025-10-27,M,Sneakers,,405.95,Bank Transfer,TX,
ORD-00340,2025-10-19,M,Sneakers,,2162.57,PayPal,FL,
ORD-00341,2025-11-25,M,Desk,8,11603.46,Bank Transfer,FL,
ORD-00342,2025-10-07,M,Handbag,3,,Bank Transfer,,
ORD-00343,2025-02-08,M,Camera,1,,Credit Card,CA,Online
ORD-00344,2025-03-19,M,Bike,4,482.37,Credit Card,NY,Mobile
ORD-00345,2025-12-08,M,Dumbbell,1,934.4,Bank Transfer,FL,
ORD-00346,2025-01-07,F,Laptop,9,7527.89,Credit Card,IL,
ORD-00347,2025-12-24,M,Microwave,5,226.86,Bank Transfer,NY,Mobile
ORD-00348,2025-04-09,F,,9,2163.31,Apple Pay,TX,
ORD-00349,2025-07-27,F,Blender,2,1144.23,Bank Transfer,IL,Online
ORD-00350,2025-02-11,F,Sneakers,,,Credit Card,CA,
ORD-00351,2025-01-29,M,Tent,7,5865.99,Credit Card,NY,Online
ORD-00352,2025-06-19,M,Headphones,7,6821.24,Credit Card,IL,
ORD-00353,2025-12-21,M,Smartphone,4,5415.54,Bank Transfer,TX,
ORD-00354,2025-10-16,M,Laptop,5,6754.91,Credit Card,NY,Mobile
ORD-00355,2025-12-31,M,Air Fryer,4,3555.25,Bank Transfer,CA,
ORD-00356,2025-07-19,F,Sofa,10,3758.99,Apple Pay,FL,
ORD-00357,2025-06-27,M,,9,10109.48,Credit Card,CA,
ORD-00358,2025-11-11,M,Bike,2,,Bank Transfer,TX,
ORD-00359,2025-07-02,M,Tablet,8,5968.74,Bank Transfer,FL,
ORD-00360,2025-11-13,F,Jeans,7,1027.79,Apple Pay,NY,
ORD-00361,2025-12-31,M,Laptop,5,,PayPal,,
ORD-00362,2025-06-07,M,Desk,2,310.9,Bank Transfer,TX,
ORD-00363,2025-08-09,M,Air Fryer,3,447.6,Bank Transfer,IL,In-Store
ORD-00364,2025-10-11,M,Treadmill,1,152.64,Credit Card,IL,
ORD-00365,2025-07-18,M,Blender,1,451.93,Credit Card,IL,
