,GRE,TOEFL,RANK,SOP,LOR,GPA,RESEARCH,ADMIT
82,320,110,5,5.0,4.5,9.22,1,1
83,322,115,5,4.0,4.5,9.36,1,1
84,340,115,5,4.5,4.5,9.45,1,1
85,319,103,4,4.5,3.5,8.66,0,1
86,315,106,3,4.5,3.5,8.42,0,0
87,317,107,2,3.5,3.0,8.28,0,0
88,314,108,3,4.5,3.5,8.14,0,0
89,316,109,4,4.5,3.5,8.76,1,0
90,318,106,2,4.0,4.0,7.92,1,0
91,299,97,3,5.0,3.5,7.66,0,0
92,298,98,2,4.0,3.0,8.03,0,0
93,301,97,2,3.0,3.0,7.88,1,0
94,303,99,3,2.0,2.5,7.66,0,0
95,304,100,4,1.5,2.5,7.84,0,0
96,306,100,2,3.0,3.0,8.0,0,0
97,331,120,3,4.0,4.0,8.96,1,1
98,332,119,4,5.0,4.5,9.24,1,1
99,323,113,3,4.0,4.0,8.88,1,1
100,322,107,3,3.5,3.5,8.46,1,0
101,312,105,2,2.5,3.0,8.12,0,0
102,314,106,2,4.0,3.5,8.25,0,0
103,317,104,2,4.5,4.0,8.47,0,0
104,326,112,3,3.5,3.0,9.05,1,0
105,316,110,3,4.0,4.5,8.78,1,0
106,329,111,4,4.5,4.5,9.18,1,1
107,338,117,4,3.5,4.5,9.46,1,1
108,331,116,5,5.0,5.0,9.38,1,1
109,304,103,5,5.0,4.0,8.64,0,0
110,305,108,5,3.0,3.0,8.48,0,0
111,321,109,4,4.0,4.0,8.68,1,0
112,301,107,3,3.5,3.5,8.34,1,0
113,320,110,2,4.0,3.5,8.56,0,0
114,311,105,3,3.5,3.0,8.45,1,0
115,310,106,4,4.5,4.5,9.04,1,0
116,299,102,3,4.0,3.5,8.62,0,0
117,290,104,4,2.0,2.5,7.46,0,0
118,296,99,2,3.0,3.5,7.28,0,0
119,327,104,5,3.0,3.5,8.84,1,0
120,335,117,5,5.0,5.0,9.56,1,1
121,334,119,5,4.5,4.5,9.48,1,1
122,310,106,4,1.5,2.5,8.36,0,0
123,308,108,3,3.5,3.5,8.22,0,0
124,301,106,4,2.5,3.0,8.47,0,0
125,300,100,3,2.0,3.0,8.66,1,0
126,323,113,3,4.0,3.0,9.32,1,1
127,319,112,3,2.5,2.0,8.71,1,1
128,326,112,3,3.5,3.0,9.1,1,1
129,333,118,5,5.0,5.0,9.35,1,1
130,339,114,5,4.0,4.5,9.76,1,1
131,303,105,5,5.0,4.5,8.65,0,1
132,309,105,5,3.5,3.5,8.56,0,0
133,323,112,5,4.0,4.5,8.78,0,1
134,333,113,5,4.0,4.0,9.28,1,1
135,314,109,4,3.5,4.0,8.77,1,1
136,312,103,3,5.0,4.0,8.45,0,1
137,316,100,2,1.5,3.0,8.16,1,0
138,326,116,2,4.5,3.0,9.08,1,1
139,318,109,1,3.5,3.5,9.12,0,1
140,329,110,2,4.0,3.0,9.15,1,1
141,332,118,2,4.5,3.5,9.36,1,1
142,331,115,5,4.0,3.5,9.44,1,1
143,340,120,4,4.5,4.0,9.92,1,1
144,325,112,2,3.0,3.5,8.96,1,1
145,320,113,2,2.0,2.5,8.64,1,1
146,315,105,3,2.0,2.5,8.48,0,1
147,326,114,3,3.0,3.0,9.11,1,1
148,339,116,4,4.0,3.5,9.8,1,1
149,311,106,2,3.5,3.0,8.26,1,1
150,334,114,4,4.0,4.0,9.43,1,1
151,332,116,5,5.0,5.0,9.28,1,1
152,321,112,5,5.0,5.0,9.06,1,1
153,324,105,3,3.0,4.0,8.75,0,1
154,326,108,3,3.0,3.5,8.89,0,1
155,312,109,3,3.0,3.0,8.69,0,1
156,315,105,3,2.0,2.5,8.34,0,0
157,309,104,2,2.0,2.5,8.26,0,0
158,306,106,2,2.0,2.5,8.14,0,0
159,297,100,1,1.5,2.0,7.9,0,0
160,315,103,1,1.5,2.0,7.86,0,0
161,298,99,1,1.5,3.0,7.46,0,0
162,318,109,3,3.0,3.0,8.5,0,0
163,317,105,3,3.5,3.0,8.56,0,0
164,329,111,4,4.5,4.0,9.01,1,1
165,322,110,5,4.5,4.0,8.97,0,1
166,302,102,3,3.5,5.0,8.33,0,0
167,313,102,3,2.0,3.0,8.27,0,0
168,293,97,2,2.0,4.0,7.8,1,0
169,311,99,2,2.5,3.0,7.98,0,0
170,312,101,2,2.5,3.5,8.04,1,0
171,334,117,5,4.0,4.5,9.07,1,1
172,322,110,4,4.0,5.0,9.13,1,1
173,323,113,4,4.0,4.5,9.23,1,1
174,321,111,4,4.0,4.0,8.97,1,1
175,320,111,4,4.5,3.5,8.87,1,1
176,329,119,4,4.5,4.5,9.16,1,1
177,319,110,3,3.5,3.5,9.04,0,1
178,309,108,3,2.5,3.0,8.12,0,0
179,307,102,3,3.0,3.0,8.27,0,0
180,300,104,3,3.5,3.0,8.16,0,0
181,305,107,2,2.5,2.5,8.42,0,0
182,299,100,2,3.0,3.5,7.88,0,0
183,314,110,3,4.0,4.0,8.8,0,1
184,316,106,2,2.5,4.0,8.32,0,0
185,327,113,4,4.5,4.5,9.11,1,1
186,317,107,3,3.5,3.0,8.68,1,1
187,335,118,5,4.5,3.5,9.44,1,1
188,331,115,5,4.5,3.5,9.36,1,1
189,324,112,5,5.0,5.0,9.08,1,1
190,324,111,5,4.5,4.0,9.16,1,1
191,323,110,5,4.0,5.0,8.98,1,1
192,322,114,5,4.5,4.0,8.94,1,1
193,336,118,5,4.5,5.0,9.53,1,1
194,316,109,3,3.5,3.0,8.76,0,1
195,307,107,2,3.0,3.5,8.52,1,1
196,306,105,2,3.0,2.5,8.26,0,0
197,310,106,2,3.5,2.5,8.33,0,0
198,311,104,3,4.5,4.5,8.43,0,0
199,313,107,3,4.0,4.5,8.69,0,0
200,317,103,3,2.5,3.0,8.54,1,0
201,315,110,2,3.5,3.0,8.46,1,0
202,340,120,5,4.5,4.5,9.91,1,1
203,334,120,5,4.0,5.0,9.87,1,1
204,298,105,3,3.5,4.0,8.54,0,0
205,295,99,2,2.5,3.0,7.65,0,0
206,315,99,2,3.5,3.0,7.89,0,0
207,310,102,3,3.5,4.0,8.02,1,0
208,305,106,2,3.0,3.0,8.16,0,0
209,301,104,3,3.5,4.0,8.12,1,0
210,325,108,4,4.5,4.0,9.06,1,1
211,328,110,4,5.0,4.0,9.14,1,1
212,338,120,4,5.0,5.0,9.66,1,1
213,333,119,5,5.0,4.5,9.78,1,1
214,331,117,4,4.5,5.0,9.42,1,1
215,330,116,5,5.0,4.5,9.36,1,1
216,322,112,4,4.5,4.5,9.26,1,1
217,321,109,4,4.0,4.0,9.13,1,1
218,324,110,4,3.0,3.5,8.97,1,1
219,312,104,3,3.5,3.5,8.42,0,0
220,313,103,3,4.0,4.0,8.75,0,1
221,316,110,3,3.5,4.0,8.56,0,1
222,324,113,4,4.5,4.0,8.79,0,1
223,308,109,2,3.0,4.0,8.45,0,0
224,305,105,2,3.0,2.0,8.23,0,0
225,296,99,2,2.5,2.5,8.03,0,0
226,306,110,2,3.5,4.0,8.45,0,0
227,312,110,2,3.5,3.0,8.53,0,0
228,318,112,3,4.0,3.5,8.67,0,0
229,324,111,4,3.0,3.0,9.01,1,1
230,313,104,3,4.0,4.5,8.65,0,0
231,319,106,3,3.5,2.5,8.33,1,0
232,312,107,2,2.5,3.5,8.27,0,0
233,304,100,2,2.5,3.5,8.07,0,0
234,330,113,5,5.0,4.0,9.31,1,1
235,326,111,5,4.5,4.0,9.23,1,1
236,325,112,4,4.0,4.5,9.17,1,1
237,329,114,5,4.5,5.0,9.19,1,1
238,310,104,3,2.0,3.5,8.37,0,0
239,299,100,1,1.5,2.0,7.89,0,0
240,296,101,1,2.5,3.0,7.68,0,0
241,317,103,2,2.5,2.0,8.15,0,0
242,324,115,3,3.5,3.0,8.76,1,0
243,325,114,3,3.5,3.0,9.04,1,1
244,314,107,2,2.5,4.0,8.56,0,0
245,328,110,4,4.0,2.5,9.02,1,1
246,316,105,3,3.0,3.5,8.73,0,0
247,311,104,2,2.5,3.5,8.48,0,0
248,324,110,3,3.5,4.0,8.87,1,1
249,321,111,3,3.5,4.0,8.83,1,1
250,320,104,3,3.0,2.5,8.57,1,0
251,316,99,2,2.5,3.0,9.0,0,0
252,318,100,2,2.5,3.5,8.54,1,0
253,335,115,4,4.5,4.5,9.68,1,1
254,321,114,4,4.0,5.0,9.12,0,1
255,307,110,4,4.0,4.5,8.37,0,1
256,309,99,3,4.0,4.0,8.56,0,1
257,324,100,3,4.0,5.0,8.64,1,1
258,326,102,4,5.0,5.0,8.76,1,1
259,331,119,4,5.0,4.5,9.34,1,1
260,327,108,5,5.0,3.5,9.13,1,1
261,312,104,3,3.5,4.0,8.09,0,0
262,308,103,2,2.5,4.0,8.36,1,0
263,324,111,3,2.5,1.5,8.79,1,0
264,325,110,2,3.0,2.5,8.76,1,1
265,313,102,3,2.5,2.5,8.68,0,0
266,312,105,2,2.0,2.5,8.45,0,0
267,314,107,3,3.0,3.5,8.17,1,0
268,327,113,4,4.5,5.0,9.14,0,1
269,308,108,4,4.5,5.0,8.34,0,1
270,306,105,2,2.5,3.0,8.22,1,0
271,299,96,2,1.5,2.0,7.86,0,0
272,294,95,1,1.5,1.5,7.64,0,0
273,312,99,1,1.0,1.5,8.01,1,0
274,315,100,1,2.0,2.5,7.95,0,0
275,322,110,3,3.5,3.0,8.96,1,1
276,329,113,5,5.0,4.5,9.45,1,1
277,320,101,2,2.5,3.0,8.62,0,0
278,308,103,2,3.0,3.5,8.49,0,0
279,304,102,2,3.0,4.0,8.73,0,0
280,311,102,3,4.5,4.0,8.64,1,0
281,317,110,3,4.0,4.5,9.11,1,1
282,312,106,3,4.0,3.5,8.79,1,1
283,321,111,3,2.5,3.0,8.9,1,1
284,340,112,4,5.0,4.5,9.66,1,1
285,331,116,5,4.0,4.0,9.26,1,1
286,336,118,5,4.5,4.0,9.19,1,1
287,324,114,5,5.0,4.5,9.08,1,1
288,314,104,4,5.0,5.0,9.02,0,1
289,313,109,3,4.0,3.5,9.0,0,1
290,307,105,2,2.5,3.0,7.65,0,0
291,300,102,2,1.5,2.0,7.87,0,0
292,302,99,2,1.0,2.0,7.97,0,0
293,312,98,1,3.5,3.0,8.18,1,0
294,316,101,2,2.5,2.0,8.32,1,0
295,317,100,2,3.0,2.5,8.57,0,0
296,310,107,3,3.5,3.5,8.67,0,1
297,320,120,3,4.0,4.5,9.11,0,1
298,330,114,3,4.5,4.5,9.24,1,1
299,305,112,3,3.0,3.5,8.65,0,0
300,309,106,2,2.5,2.5,8.0,0,0
301,319,108,2,2.5,3.0,8.76,0,0
302,322,105,2,3.0,3.0,8.45,1,0
303,323,107,3,3.5,3.5,8.55,1,0
304,313,106,2,2.5,2.0,8.43,0,0
305,321,109,3,3.5,3.5,8.8,1,0
306,323,110,3,4.0,3.5,9.1,1,1
307,325,112,4,4.0,4.0,9.0,1,1
308,312,108,3,3.5,3.0,8.53,0,0
309,308,110,4,3.5,3.0,8.6,0,0
310,320,104,3,3.0,3.5,8.74,1,1
311,328,108,4,4.5,4.0,9.18,1,1
312,311,107,4,4.5,4.5,9.0,1,1
313,301,100,3,3.5,3.0,8.04,0,0
314,305,105,2,3.0,4.0,8.13,0,0
315,308,104,2,2.5,3.0,8.07,0,0
316,298,101,2,1.5,2.0,7.86,0,0
317,300,99,1,1.0,2.5,8.01,0,0
318,324,111,3,2.5,2.0,8.8,1,1
319,327,113,4,3.5,3.0,8.69,1,1
320,317,106,3,4.0,3.5,8.5,1,1
321,323,104,3,4.0,4.0,8.44,1,0
322,314,107,2,2.5,4.0,8.27,0,0
323,305,102,2,2.0,2.5,8.18,0,0
324,315,104,3,3.0,2.5,8.33,0,0
325,326,116,3,3.5,4.0,9.14,1,1
326,299,100,3,2.0,2.0,8.02,0,0
327,295,101,2,2.5,2.0,7.86,0,0
328,324,112,4,4.0,3.5,8.77,1,1
329,297,96,2,2.5,1.5,7.89,0,0
330,327,113,3,3.5,3.0,8.66,1,1
331,311,105,2,3.0,2.0,8.12,1,0
332,308,106,3,3.5,2.5,8.21,1,1
333,319,108,3,3.0,3.5,8.54,1,0
334,312,107,4,4.5,4.0,8.65,1,0
335,325,111,4,4.0,4.5,9.11,1,1
336,319,110,3,3.0,2.5,8.79,0,0
337,332,118,5,5.0,5.0,9.47,1,1
338,323,108,5,4.0,4.0,8.74,1,1
339,324,107,5,3.5,4.0,8.66,1,1
340,312,107,3,3.0,3.0,8.46,1,1
341,326,110,3,3.5,3.5,8.76,1,1
342,308,106,3,3.0,3.0,8.24,0,0
343,305,103,2,2.5,3.5,8.13,0,0
344,295,96,2,1.5,2.0,7.34,0,0
345,316,98,1,1.5,2.0,7.43,0,0
346,304,97,2,1.5,2.0,7.64,0,0
347,299,94,1,1.0,1.0,7.34,0,0
348,302,99,1,2.0,2.0,7.25,0,0
349,313,101,3,2.5,3.0,8.04,0,0
350,318,107,3,3.0,3.5,8.27,1,0
351,325,110,4,3.5,4.0,8.67,1,0
352,303,100,2,3.0,3.5,8.06,1,0
353,300,102,3,3.5,2.5,8.17,0,0
354,297,98,2,2.5,3.0,7.67,0,0
355,317,106,2,2.0,3.5,8.12,0,0
356,327,109,3,3.5,4.0,8.77,1,1
357,301,104,2,3.5,3.5,7.89,1,0
358,314,105,2,2.5,2.0,7.64,0,0
359,321,107,2,2.0,1.5,8.44,0,1
360,322,110,3,4.0,5.0,8.64,1,1
361,334,116,4,4.0,3.5,9.54,1,1
362,338,115,5,4.5,5.0,9.23,1,1
363,306,103,2,2.5,3.0,8.36,0,0
364,313,102,3,3.5,4.0,8.9,1,1
365,330,114,4,4.5,3.0,9.17,1,1
366,320,104,3,3.5,4.5,8.34,1,0
367,311,98,1,1.0,2.5,7.46,0,0
368,298,92,1,2.0,2.0,7.88,0,0
369,301,98,1,2.0,3.0,8.03,1,0
370,310,103,2,2.5,2.5,8.24,0,0
371,324,110,3,3.5,3.0,9.22,1,1
372,336,119,4,4.5,4.0,9.62,1,1
373,321,109,3,3.0,3.0,8.54,1,1
374,315,105,2,2.0,2.5,7.65,0,0
375,304,101,2,2.0,2.5,7.66,0,0
376,297,96,2,2.5,2.0,7.43,0,0
377,290,100,1,1.5,2.0,7.56,0,0
378,303,98,1,2.0,2.5,7.65,0,0
379,311,99,1,2.5,3.0,8.43,1,0
380,322,104,3,3.5,4.0,8.84,1,1
381,319,105,3,3.0,3.5,8.67,1,0
382,324,110,4,4.5,4.0,9.15,1,1
383,300,100,3,3.0,3.5,8.26,0,0
384,340,113,4,5.0,5.0,9.74,1,1
385,335,117,5,5.0,5.0,9.82,1,1
386,302,101,2,2.5,3.5,7.96,0,0
387,307,105,2,2.0,3.5,8.1,0,0
388,296,97,2,1.5,2.0,7.8,0,0
389,320,108,3,3.5,4.0,8.44,1,1
390,314,102,2,2.0,2.5,8.24,0,0
391,318,106,3,2.0,3.0,8.65,0,0
392,326,112,4,4.0,3.5,9.12,1,1
393,317,104,2,3.0,3.0,8.76,0,1
394,329,111,4,4.5,4.0,9.23,1,1
395,324,110,3,3.5,3.5,9.04,1,1
396,325,107,3,3.0,3.5,9.11,1,1
397,330,116,4,5.0,4.5,9.45,1,1
398,312,103,3,3.5,4.0,8.78,0,0
399,333,117,4,5.0,4.0,9.66,1,1
400,304,100,2,3.5,3.0,8.22,0,0
401,315,105,2,3.0,3.0,8.34,0,0
402,324,109,3,3.5,3.0,8.94,1,1
403,330,116,4,4.0,3.5,9.23,1,1
404,311,101,3,2.0,2.5,7.64,1,0
405,302,99,3,2.5,3.0,7.45,0,0
406,322,103,4,3.0,2.5,8.02,1,0
407,298,100,3,2.5,4.0,7.95,1,0
408,297,101,3,2.0,4.0,7.67,1,0
409,300,98,1,2.0,2.5,8.02,0,0
410,301,96,1,3.0,4.0,7.56,0,0
411,313,94,2,2.5,1.5,8.13,0,0
412,314,102,4,2.5,2.0,7.88,1,0
413,317,101,3,3.0,2.0,7.94,1,0
414,321,110,4,3.5,4.0,8.35,1,0
415,327,106,4,4.0,4.5,8.75,1,1
416,315,104,3,4.0,2.5,8.1,0,0
417,316,103,3,3.5,2.0,7.68,0,0
418,309,111,2,2.5,4.0,8.03,0,0
419,308,102,2,2.0,3.5,7.98,1,0
420,299,100,3,2.0,3.0,7.42,0,0
421,321,112,3,3.0,4.5,8.95,1,1
422,322,112,4,3.5,2.5,9.02,1,0
423,334,119,5,4.5,5.0,9.54,1,1
424,325,114,5,4.0,5.0,9.46,1,1
425,323,111,5,4.0,5.0,9.86,1,1
426,312,106,3,3.0,5.0,8.57,0,0
427,310,101,3,3.5,5.0,8.65,1,0
428,316,103,2,2.0,4.5,8.74,0,0
429,340,115,5,5.0,4.5,9.06,1,1
430,311,104,3,4.0,3.5,8.13,1,0
431,320,112,2,3.5,3.5,8.78,1,0
432,324,112,4,4.5,4.0,9.22,1,1
433,316,111,4,4.0,5.0,8.54,0,0
434,306,103,3,3.5,3.0,8.21,0,0
435,309,105,2,2.5,4.0,7.68,0,0
436,310,110,1,1.5,4.0,7.23,1,0
437,317,106,1,1.5,3.5,7.65,1,0
438,318,110,1,2.5,3.5,8.54,1,0
439,312,105,2,1.5,3.0,8.46,0,0
440,305,104,2,2.5,1.5,7.79,0,0
441,332,112,1,1.5,3.0,8.66,1,1
442,331,116,4,4.5,4.5,9.44,1,1
443,321,114,5,4.5,4.5,9.16,1,1
444,324,113,5,4.0,5.0,9.25,1,1
445,328,116,5,4.5,5.0,9.08,1,1
446,327,118,4,5.0,5.0,9.67,1,1
447,320,108,3,3.5,5.0,8.97,1,1
448,312,109,2,2.5,4.0,9.02,0,1
449,315,101,3,3.5,4.5,9.13,0,1
450,320,112,4,3.0,4.5,8.86,1,1
451,324,113,4,4.5,4.5,9.25,1,1
452,328,116,4,5.0,3.5,9.6,1,1
453,319,103,3,2.5,4.0,8.76,1,0
454,310,105,2,3.0,3.5,8.01,0,0
455,305,102,2,1.5,2.5,7.64,0,0
456,299,100,2,2.0,2.0,7.88,0,0
457,295,99,1,2.0,1.5,7.57,0,0
458,312,100,1,3.0,3.0,8.53,1,0
459,329,113,4,4.0,3.5,9.36,1,1
460,319,105,4,4.0,4.5,8.66,1,1
461,301,102,3,2.5,2.0,8.13,1,0
462,307,105,4,3.0,3.0,7.94,0,0
463,304,107,3,3.5,3.0,7.86,0,0
464,298,97,2,2.0,3.0,7.21,0,0
465,305,96,4,3.0,4.5,8.26,0,0
466,314,99,4,3.5,4.5,8.73,1,0
467,318,101,5,3.5,5.0,8.78,1,1
468,323,110,4,4.0,5.0,8.88,1,1
469,326,114,4,4.0,3.5,9.16,1,1
470,320,110,5,4.0,4.0,9.27,1,1
471,311,103,3,2.0,4.0,8.09,0,0
472,327,116,4,4.0,4.5,9.48,1,1
473,316,102,2,4.0,3.5,8.15,0,0
474,308,105,4,3.0,2.5,7.95,1,0
475,300,101,3,3.5,2.5,7.88,0,0
476,304,104,3,2.5,2.0,8.12,0,0
477,309,105,4,3.5,2.0,8.18,0,0
478,318,103,3,4.0,4.5,8.49,1,0
479,325,110,4,4.5,4.0,8.96,1,1
480,321,102,3,3.5,4.0,9.01,1,1
481,323,107,4,3.0,2.5,8.48,1,1
482,328,113,4,4.0,2.5,8.77,1,1
483,304,103,5,5.0,3.0,7.92,0,0
484,317,106,3,3.5,3.0,7.89,1,0
485,311,101,2,2.5,3.5,8.34,1,0
486,319,102,3,2.5,2.5,8.37,0,0
487,327,115,4,3.5,4.0,9.14,0,1
488,322,112,3,3.0,4.0,8.62,1,1
489,302,110,3,4.0,4.5,8.5,0,0
490,307,105,2,2.5,4.5,8.12,1,0
491,297,99,4,3.0,3.5,7.81,0,0
492,298,101,4,2.5,4.5,7.69,1,0
493,300,95,2,3.0,1.5,8.22,1,0
494,301,99,3,2.5,2.0,8.45,1,0
495,332,108,5,4.5,4.0,9.02,1,1
496,337,117,5,5.0,5.0,9.87,1,1
497,330,120,5,4.5,5.0,9.56,1,1
498,312,103,4,4.0,5.0,8.43,0,0
499,327,113,4,4.5,4.5,9.04,0,1
