longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-118.23,34.21,50,309,47,121,45,6.213,285000,<1H OCEAN
-121.66,37.13,20,4477,924,2656,871,3.8788,226900,<1H OCEAN
-119.05,36.07,21,2472,523,1238,504,1.7756,62900,INLAND
-122.84,38.07,31,1858,367,701,297,3.8269,270700,NEAR OCEAN
-117.78,34.05,39,2933,590,1886,550,3.9224,131300,INLAND
-115.51,33.12,21,1024,218,890,232,2.101,46700,INLAND
-120.8,37.53,29,1162,254,726,225,2.1932,90600,INLAND
-117.69,34.09,28,1437,295,724,262,2.725,140200,INLAND
-117.48,33.98,20,2451,475,1785,456,3.3966,115000,INLAND
-118.27,34.11,41,4138,1130,1859,1030,2.978,306800,<1H OCEAN
-117.19,32.77,30,2747,640,3185,657,3.765,238000,NEAR OCEAN
-117.66,34.05,33,960,216,831,222,2.5391,108600,INLAND
-117.86,33.63,17,3095,551,1175,534,5.3099,500001,<1H OCEAN
-118.08,33.97,36,1678,323,1380,352,3.5481,163300,<1H OCEAN
-121.28,37.94,44,1406,357,1489,386,1.4688,56800,INLAND
-122.31,38.27,34,1748,284,783,303,4.3585,194400,NEAR BAY
-117.9,33.65,28,2043,430,1108,452,5.2549,261800,<1H OCEAN
-117.65,33.6,15,5736,,2529,762,6.4114,278700,<1H OCEAN
-117.96,33.69,17,2500,343,1242,368,7.7313,316700,<1H OCEAN
-117.17,32.73,52,1578,487,879,446,2.4069,215000,NEAR OCEAN
-118.37,33.92,40,928,187,521,185,5.5255,242700,<1H OCEAN
-122.43,37.77,52,2416,620,1188,591,2.3887,337500,NEAR BAY
-121.84,37.32,22,3015,581,2491,530,4.3419,176300,<1H OCEAN
-118.36,33.88,33,2408,534,1644,523,4.2454,236800,<1H OCEAN
-118.2,33.79,47,767,195,569,195,2.9514,185200,NEAR OCEAN
-119.16,34.28,30,413,98,400,112,4,219200,NEAR OCEAN
-116.89,32.85,15,3560,593,1757,574,5.1185,185300,<1H OCEAN
-118.99,35.27,32,444,102,242,87,1.1528,150000,INLAND
-118.18,33.8,15,2407,589,1591,506,3.0513,148100,NEAR OCEAN
-118.18,33.77,30,1418,439,720,417,2.6371,159400,NEAR OCEAN
-117.03,33.89,6,78,11,27,10,3.125,187500,INLAND
-117.9,34.14,35,2259,505,1561,509,3.3043,155500,<1H OCEAN
-117.12,32.73,50,2307,424,887,356,3.5156,168800,NEAR OCEAN
-122.43,37.78,17,2728,908,1670,893,1.077,115000,NEAR BAY
-118.31,33.96,48,2015,356,1020,338,4.0625,138700,<1H OCEAN
-117.02,33.95,5,1822,367,798,313,2.8783,105200,INLAND
-117.62,33.43,23,4052,955,1950,859,4.0647,240600,NEAR OCEAN
-117.83,34.14,26,8254,1153,3460,1131,6.5253,349900,INLAND
-121.82,37.35,24,2298,575,2409,569,3.4509,182400,<1H OCEAN
-121.97,38.03,17,3685,685,1939,649,3.7043,139800,INLAND
-121.43,38.58,35,5298,954,1933,918,3.9167,155700,INLAND
-122.14,37.44,52,3117,468,1114,421,6.6756,500001,NEAR BAY
-117.25,32.86,27,2530,469,594,326,7.2821,500001,NEAR OCEAN
-119.06,34.22,13,4175,1321,2257,1271,3.1446,177100,<1H OCEAN
-117.95,33.78,26,4115,883,2184,825,3.9536,191000,<1H OCEAN
-117.9,33.93,12,4325,1191,1897,1080,3.3173,247400,<1H OCEAN
-119.32,36.33,18,2603,478,1158,423,4.5938,150500,INLAND
-117.71,34.06,16,1458,295,912,331,3.625,160400,INLAND
-118.27,34.02,21,1314,375,1505,366,2.319,97200,<1H OCEAN
-117.15,32.8,23,2395,476,2284,488,3.7292,146300,NEAR OCEAN
-122.25,37.79,39,461,129,381,123,1.6,112500,NEAR BAY
-118.36,34.18,36,2233,605,1934,599,2.8784,194900,<1H OCEAN
-117.08,32.77,31,1070,155,426,153,6.1628,219200,NEAR OCEAN
-122.06,37.37,32,2510,578,1160,581,4.9087,322700,<1H OCEAN
-118.4,34.02,40,593,137,371,132,4.6932,332800,<1H OCEAN
-122.03,37.34,25,5404,906,2338,883,6.0577,451800,<1H OCEAN
-117.92,33.82,10,1548,506,1535,424,4.5057,152400,<1H OCEAN
-120.59,38.45,13,2944,558,1091,466,3,119000,INLAND
-122.61,38.25,18,2915,418,1340,421,5.2452,204900,<1H OCEAN
-122.48,38.48,29,2278,397,765,322,4.6379,348200,INLAND
-118.24,33.99,33,885,294,1270,282,2.1615,118800,<1H OCEAN
-122.72,38.45,41,1743,373,780,357,3.1467,175500,<1H OCEAN
-118.38,34.06,31,4345,1158,1987,1070,2.8233,310000,<1H OCEAN
-121.99,37.81,17,465,83,146,75,4.9018,188500,<1H OCEAN
-118.41,33.97,44,2298,388,849,360,5.5941,363500,<1H OCEAN
-118.08,33.96,34,1431,310,1162,288,4.369,165400,<1H OCEAN
-122.18,37.72,45,1498,313,1003,305,3.8047,156700,NEAR BAY
-121.46,38.68,35,1299,254,705,245,2.8333,103000,INLAND
-117.24,32.75,36,1856,475,822,416,2.3042,220600,NEAR OCEAN
-117.96,33.8,30,729,131,488,139,4.7667,195200,<1H OCEAN
-118.95,34.83,18,3278,762,1338,550,2.9891,116500,INLAND
-123.72,41.09,19,1970,431,1166,363,1.8208,50000,<1H OCEAN
-118.19,34.87,2,2103,389,923,338,5.0553,111100,INLAND
-117.29,33.04,30,2750,555,1281,520,4.7333,286900,NEAR OCEAN
-118.42,34.29,34,1489,326,1389,313,3.4821,160300,<1H OCEAN
-122.25,37.86,52,4048,663,1316,590,5.3794,376900,NEAR BAY
-118.96,34.18,16,3137,462,1384,436,6.1306,258200,<1H OCEAN
-119.31,36.62,25,831,230,947,244,1.4481,51700,INLAND
-120.12,35.99,7,2049,482,1387,422,2.25,56200,INLAND
-122,37.98,35,1192,201,535,172,4.9219,182000,INLAND
-122.41,37.79,52,2909,851,1711,830,3.0296,500001,NEAR BAY
-118.27,34.08,35,1147,365,1016,296,2.3913,198800,<1H OCEAN
-122.44,37.7,6,3523,664,1705,608,4.9318,258100,NEAR OCEAN
-118.25,34.14,30,1615,570,1245,544,1.8929,196900,<1H OCEAN
-120.5,37.3,29,1572,456,1697,429,1.76,63200,INLAND
-122.09,37.69,20,4296,817,1732,800,4.8036,188300,NEAR BAY
-122.44,37.8,52,3830,,1310,963,3.4801,500001,NEAR BAY
-122.46,37.71,52,1642,351,1138,340,4.1406,219500,NEAR OCEAN
-121.54,39.5,38,1438,310,779,275,1.3289,39400,INLAND
-122.1,37.66,34,656,115,342,112,4.6875,200600,NEAR BAY
-118.09,33.99,34,1369,270,1005,272,3.692,172600,<1H OCEAN
-122.49,37.73,39,1937,336,742,307,5.1991,369400,NEAR OCEAN
-118.16,33.97,31,1363,428,1897,364,2.3929,191100,<1H OCEAN
-118.54,34.18,25,1938,457,1280,425,3.9632,240300,<1H OCEAN
-122.82,38.4,40,2406,423,1054,426,3.8846,215900,<1H OCEAN
-116.89,33.79,12,701,130,434,110,2.0577,56700,INLAND
-122.67,38.43,17,2007,400,895,403,3.2813,202700,<1H OCEAN
-122.57,40.61,27,1540,315,883,321,2.8036,93400,INLAND
-117.53,34.28,35,1529,338,688,256,4.1083,108000,INLAND
-119.17,34.15,18,2509,688,3129,677,2.6098,146100,NEAR OCEAN
-117.24,32.73,37,2260,354,809,351,5.9113,388300,NEAR OCEAN
-122.05,37.95,20,563,107,246,123,5.4482,190800,NEAR BAY
-118.36,33.9,39,1166,222,640,206,3.5313,230400,<1H OCEAN
-119.83,36.71,43,355,81,233,75,2.4167,73900,INLAND
-120.05,36.95,18,2287,534,1339,505,2.2527,65200,INLAND
-118.27,33.92,36,1465,346,1147,324,1.7262,88800,<1H OCEAN
-118.47,34.06,45,3030,433,916,399,9.4664,500001,<1H OCEAN
-117.39,34.1,19,1000,211,572,230,2.4028,112500,INLAND
-122.16,37.74,52,771,147,355,144,4.1458,143400,NEAR BAY
-122.04,37.55,23,3170,532,1446,515,4.4357,291700,NEAR BAY
-117.76,34.11,22,4935,954,2874,938,3.9825,180500,INLAND
-117.23,34.11,33,2170,500,1425,472,2.0133,78300,INLAND
-117.89,33.86,28,1395,398,1220,362,3.3008,193800,<1H OCEAN
-122.14,38.01,50,1760,341,741,316,4.5,178300,NEAR BAY
-120.86,37.77,28,1208,232,535,232,2.3523,94700,INLAND
-121.18,38.69,7,7104,970,2772,920,6.3528,274500,INLAND
-122.24,37.49,38,4105,950,2561,909,3.8684,265600,NEAR OCEAN
-117.94,33.86,33,1013,312,706,266,2.1432,197500,<1H OCEAN
-118.05,34.06,25,1022,291,1570,297,3.023,142000,<1H OCEAN
-117.08,33.14,11,1430,292,921,294,4.2357,160900,<1H OCEAN
-117.21,33.13,19,3068,596,912,554,3.775,168000,NEAR OCEAN
-117.89,33.82,21,1591,298,904,297,4.8906,179100,<1H OCEAN
-121.87,37.32,39,1839,471,1528,456,2.6818,184900,<1H OCEAN
-121.02,37.65,20,2973,620,1996,570,3.0645,106000,INLAND
-122,37.98,36,404,77,237,88,4.525,161300,INLAND
-121.72,37.7,17,1671,352,729,252,6.1023,450000,INLAND
-122.44,37.8,52,1603,487,727,464,3.9856,500001,NEAR BAY
-118.47,34.02,41,2136,549,986,557,2.7254,444400,<1H OCEAN
-123.1,38.97,36,1211,247,697,251,2.5761,94900,<1H OCEAN
-118.46,34.24,11,5363,1160,2783,1034,3.8583,170700,<1H OCEAN
-119.8,36.71,29,1541,291,1007,313,2.0043,53500,INLAND
-118.92,35.47,6,1755,280,664,254,6.2885,216400,INLAND
-117.06,32.59,13,3920,775,2814,760,4.0616,148800,NEAR OCEAN
-118.02,33.73,24,6393,1141,2743,1057,5.1384,336900,<1H OCEAN
-120.72,35.63,31,3476,644,1476,567,3.3472,195200,<1H OCEAN
-118.36,33.96,37,2146,573,2009,592,3.6583,177300,<1H OCEAN
-121.94,37.42,16,3936,788,1910,769,4.7049,112500,<1H OCEAN
-121.74,38.56,18,3960,1151,2248,1144,1.7257,179100,INLAND
-118.5,34.02,35,2914,934,1334,870,2.9934,350000,<1H OCEAN
-121.44,38.73,25,1287,224,727,236,4.7396,135500,INLAND
-117.61,34.09,23,1945,362,1483,383,4.4205,135500,INLAND
-117.34,34.12,26,1008,164,568,196,3.3516,105600,INLAND
-121.27,38.31,17,1144,202,626,178,4.4107,151600,INLAND
-122.13,37.75,30,414,54,137,50,4.975,311100,NEAR BAY
-117.22,34.12,34,2457,499,1538,507,2.809,82500,INLAND
-117.97,33.96,30,4873,667,1995,638,7.2472,441900,<1H OCEAN
-122.47,37.71,44,2547,511,1577,516,4.1939,237900,NEAR OCEAN
-119.9,37.49,13,2230,443,920,361,3,112000,INLAND
-121.28,38.11,10,2974,588,1559,568,3.8825,136800,INLAND
-120.91,38.98,13,7689,1415,3264,1198,3.653,146800,INLAND
-117.92,34.08,35,1897,311,965,323,5.7039,199400,<1H OCEAN
-118.1,33.81,36,856,146,451,164,5.1993,246000,<1H OCEAN
-118.4,33.98,36,2526,452,996,441,5.611,456600,<1H OCEAN
-117.81,34.11,21,3481,808,1866,746,3.6201,150400,INLAND
-118.31,33.89,37,2278,508,1257,498,3.7639,220600,<1H OCEAN
-119.04,35.42,47,1691,402,913,358,1.8403,54700,INLAND
-117.9,34.14,29,2240,457,1187,407,3.8365,184200,<1H OCEAN
-118.03,33.99,52,2792,461,1177,439,3.4312,243800,<1H OCEAN
-119.02,36.06,41,2279,538,1908,511,1.3952,43100,INLAND
-117.12,33.49,4,21988,4055,8824,3252,3.9963,191100,<1H OCEAN
-118.25,33.96,43,1876,454,1571,458,2.0323,112500,<1H OCEAN
-122.81,38.08,19,1615,366,815,337,3.4609,238800,NEAR OCEAN
-119.77,36.8,32,3461,665,1507,649,2.9244,84600,INLAND
-119.1,35.35,5,4597,1071,1916,870,4.0327,131000,INLAND
-119.69,36.83,8,943,189,475,155,4.9327,89500,INLAND
-118.34,33.98,40,2108,526,1922,544,3.163,137800,<1H OCEAN
-118.28,33.93,42,1898,460,1503,429,2.5179,97400,<1H OCEAN
-118.29,34.02,21,1641,491,1526,453,2.087,141300,<1H OCEAN
-118.05,34.17,45,2535,455,1036,437,5.0482,388900,INLAND
-122.53,37.95,22,7446,1979,2980,1888,3.5838,271300,NEAR BAY
-117.9,33.74,19,1566,379,1032,330,2.2105,180400,<1H OCEAN
-122.39,37.74,45,1462,308,924,302,2.1767,185300,NEAR BAY
-118.05,33.86,16,2676,391,1377,395,6.5513,350400,<1H OCEAN
-120.43,38.02,15,1613,299,655,251,3.6875,186000,INLAND
-118.29,33.85,10,1391,420,1378,377,1.9049,222200,<1H OCEAN
-122.02,37.56,35,1716,312,914,316,5.5737,214500,NEAR BAY
-117.11,33.98,25,1254,312,715,301,2.7344,149000,INLAND
-122.44,37.78,16,883,236,601,219,2.151,146900,NEAR BAY
-120.85,37.77,10,423,110,295,94,1.3583,85200,INLAND
-117.6,33.42,23,2482,461,1048,425,4.665,280600,NEAR OCEAN
-122.02,37.98,40,1797,401,756,369,2.8456,165500,NEAR BAY
-121.63,39.15,16,1547,418,940,400,1.5613,72500,INLAND
-121.46,38.51,18,2123,606,1576,599,1.5735,110000,INLAND
-121.89,37.31,47,2986,627,1399,613,3.7455,247400,<1H OCEAN
-117.95,34.04,36,1044,200,982,205,4.7679,153900,<1H OCEAN
-122.29,37.88,50,1211,261,523,227,3.8672,216700,NEAR BAY
-122.03,37.56,24,8444,1492,4446,1491,4.6978,240300,NEAR BAY
-122.04,38.25,38,1214,244,632,254,2.8438,94200,INLAND
-118.88,34.22,22,3654,517,1565,518,6.2748,274800,<1H OCEAN
-121.24,38.82,5,12259,1643,4819,1582,5.4498,217300,INLAND
-117.11,32.79,16,2574,771,1129,721,3.3849,96900,NEAR OCEAN
-122.01,37.39,16,3015,829,1769,807,4.0068,249500,<1H OCEAN
-116.38,33.73,10,11836,2405,3811,1570,4.0079,134500,INLAND
-118.43,34.21,17,3667,1209,2636,1054,2.425,175500,<1H OCEAN
-116.22,33.73,38,1695,352,1279,305,2.1217,68500,INLAND
-122,37.95,9,2214,256,848,239,6.8145,339200,INLAND
-122.27,37.54,15,2126,310,905,306,8.9083,500001,NEAR BAY
-119.67,36.33,19,1241,244,850,237,2.9375,81700,INLAND
-122.67,38.43,17,1804,304,750,298,4.5588,196400,<1H OCEAN
-117.82,33.76,27,3230,449,1193,448,6.5308,287800,<1H OCEAN
-118.19,33.79,43,1823,600,2339,560,1.6792,130600,NEAR OCEAN
-122.69,38.45,36,1943,337,711,318,3.9191,183000,<1H OCEAN
-121.07,39.15,15,6828,1319,3002,1318,2.4726,143400,INLAND
-117.7,33.57,4,3283,911,1512,782,3.3125,138500,<1H OCEAN
-118.56,34.23,36,2406,432,1242,454,4.6944,221800,<1H OCEAN
-122.05,37.31,25,4111,538,1585,568,9.2298,500001,<1H OCEAN
-118.37,34.08,28,4376,1202,1847,1128,2.6713,312500,<1H OCEAN
-122.82,38.33,25,3067,569,1602,550,3.9917,244100,<1H OCEAN
-117.21,32.8,34,1398,222,532,244,3.7102,289600,NEAR OCEAN
-122.14,37.84,24,2131,343,874,373,5.6349,355600,NEAR BAY
-117.34,33.19,19,3575,525,1654,559,5.7409,274100,NEAR OCEAN
-118.09,33.89,42,1150,215,708,204,3.6875,171500,<1H OCEAN
-118.37,34.1,37,407,67,100,47,15.0001,500001,<1H OCEAN
-121.1,39.08,13,1110,216,602,209,2.5887,144400,INLAND
-122.27,37.87,49,1350,368,707,350,2.8846,211300,NEAR BAY
-122.18,37.45,37,5257,1360,2128,1264,4,394300,NEAR BAY
-121.3,38.59,25,3002,718,1660,613,2.1116,89600,INLAND
-117.88,33.74,31,1120,296,1718,268,2.8077,140300,<1H OCEAN
-122,38.35,38,1918,364,745,348,2.5707,126000,INLAND
-118.27,34.02,39,2004,633,3050,621,1.875,127300,<1H OCEAN
-117.27,32.99,21,3318,578,1273,538,5.5922,382100,NEAR OCEAN
-122.44,37.73,46,3581,758,1670,703,4.1932,269200,NEAR BAY
-118.17,34.1,25,4444,647,1922,652,8.058,477300,<1H OCEAN
-117.25,34.53,13,5841,955,2455,915,4.1333,158200,INLAND
-117.13,32.73,52,1911,415,777,412,2.2429,221100,NEAR OCEAN
-121.3,38.02,4,1515,384,491,348,2.8523,87500,INLAND
-117.11,32.67,52,204,74,248,57,1.7961,47500,NEAR OCEAN
-119.8,36.68,31,2214,432,1326,416,2.1691,66700,INLAND
-122.45,37.79,52,3069,579,1107,536,5.5634,500001,NEAR BAY
-122.06,37.71,36,3541,570,1478,529,4.635,248600,NEAR BAY
-118.37,33.88,44,1325,245,669,253,4.4211,324000,<1H OCEAN
-117.68,33.52,5,3621,632,1546,567,5.753,322800,<1H OCEAN
-122.14,37.67,34,3036,533,1366,500,4.2386,192300,NEAR BAY
-121.47,38.58,43,3807,952,1484,850,2.3266,137500,INLAND
-122.5,37.77,52,2299,441,1252,415,5.0562,336700,NEAR BAY
-122.09,37.71,31,1843,282,749,269,5.2855,253500,NEAR BAY
-121.33,38.03,19,1708,291,906,288,4.918,130600,INLAND
-117.02,32.95,25,1909,334,1043,322,3.7784,160100,<1H OCEAN
-117.68,35.64,15,3253,573,1408,586,5.2043,95700,INLAND
-117.92,33.83,36,1072,193,639,196,5.0275,179300,<1H OCEAN
-116.22,33.74,26,4120,858,2918,815,3.3107,69400,INLAND
-122.28,37.86,52,1659,367,788,346,2.8214,164300,NEAR BAY
-118.31,34.01,52,1793,350,1303,366,3.0759,123700,<1H OCEAN
-118.29,34.04,32,432,182,702,186,2.1471,125000,<1H OCEAN
-117.88,33.7,17,5122,1544,2966,1339,3.4835,116700,<1H OCEAN
-122.34,37.57,52,2547,373,876,359,8.2598,500001,NEAR OCEAN
-118.34,34.19,43,1029,252,613,255,2.6827,219900,<1H OCEAN
-117.08,32.66,43,1004,236,839,235,2.81,103400,NEAR OCEAN
-117.03,34.91,27,2718,583,1472,509,2.825,76600,INLAND
-118.11,34.08,45,1106,226,779,205,4.5446,244800,<1H OCEAN
-122.12,37.89,30,3227,733,1260,684,4.125,257100,NEAR BAY
-118.13,33.78,45,1016,172,361,163,7.5,434500,NEAR OCEAN
-117.96,33.81,34,1416,277,980,284,4.7772,182500,<1H OCEAN
-118.35,34,46,3402,503,1389,504,5.3462,270400,<1H OCEAN
-118.37,34.05,48,1266,234,539,222,4.005,275000,<1H OCEAN
-118.1,34.06,36,1463,369,1492,366,3.25,179200,<1H OCEAN
-117.98,33.65,22,3592,527,1598,523,6.5501,294900,<1H OCEAN
-120.98,39.08,20,4570,906,2125,815,3.0403,148000,INLAND
-122.27,37.43,33,1601,223,629,215,15.0001,500001,NEAR OCEAN
-121.9,37.27,28,4538,685,1996,667,5.4609,263600,<1H OCEAN
-118.2,34.12,44,1565,398,1500,407,2.8125,155600,<1H OCEAN
-116.99,32.79,33,2420,393,1003,397,4.0658,165100,<1H OCEAN
-116.62,34.23,14,6438,1719,1586,691,1.6136,67400,INLAND
-121.34,38.63,13,3033,540,1363,519,4.0036,161700,INLAND
-120.86,37.77,38,1545,279,662,266,3.825,96400,INLAND
-122.24,37.76,52,2504,516,979,472,3.4762,244000,NEAR BAY
-118.59,34.22,17,6015,1464,3056,1347,4.0077,229000,<1H OCEAN
-121.31,38.03,18,4893,1008,3036,997,2.5212,110000,INLAND
-118.43,34.24,36,1379,265,896,246,4.6827,183800,<1H OCEAN
-118.1,34.14,26,6262,1645,3001,1505,3.6572,213200,<1H OCEAN
-121.98,37.36,35,1440,267,743,259,5.0866,254600,<1H OCEAN
-117.68,33.48,15,1786,299,727,293,5.0527,231400,<1H OCEAN
-120.46,34.65,10,2143,593,1167,548,2.0819,103300,NEAR OCEAN
-118.31,34.05,42,443,223,582,223,2.2937,350000,<1H OCEAN
-123.98,40.88,41,1719,372,844,336,2.6923,84200,<1H OCEAN
-122.25,39.79,16,2127,412,1104,369,3.0469,72200,INLAND
-121.24,36.34,33,1691,308,792,262,2.6648,164600,<1H OCEAN
-119.31,34.38,23,282,69,130,57,2.4375,225000,NEAR OCEAN
-118,33.77,28,2401,503,1155,456,3.5139,211700,<1H OCEAN
-122.48,37.76,52,1845,336,1015,337,4.1397,331300,NEAR BAY
-117.04,32.63,26,2074,356,1228,335,4.1154,160200,NEAR OCEAN
-122.07,37.57,8,8647,1407,5019,1379,6.5615,318300,NEAR BAY
-118.23,33.92,32,2698,640,1953,613,1.2222,107200,<1H OCEAN
-118.05,34.1,30,2143,427,1107,416,4.2321,252200,INLAND
-121.68,39.11,19,1366,220,596,203,4.0625,141700,INLAND
-118.37,34.14,23,1883,512,774,478,3.5096,396400,<1H OCEAN
-119.4,36.53,28,2201,429,1524,412,2.75,65000,INLAND
-121.89,37.35,43,1185,296,933,244,2.925,170800,<1H OCEAN
-123.75,39.37,16,1377,296,830,279,3.25,151400,<1H OCEAN
-118.38,34.27,8,3248,847,2608,731,2.8214,158300,<1H OCEAN
-117.41,33.94,29,3181,714,1603,706,3.25,112500,INLAND
-117.65,34.11,28,2788,370,1140,385,5.3368,233500,INLAND
-122.08,37.34,28,1643,216,594,205,12.367,500001,<1H OCEAN
-122.64,38.24,52,1621,393,635,349,2.5202,244000,<1H OCEAN
-118.19,33.87,35,1769,436,1166,386,2.875,178300,<1H OCEAN
-119.28,36.33,10,1051,297,927,274,0.78,55500,INLAND
-121.83,37.26,7,3609,751,1739,682,4.5033,213100,<1H OCEAN
-118.2,33.82,34,2807,768,2217,744,2.4286,204800,NEAR OCEAN
-119.65,36.35,38,3148,568,1378,537,2.8788,85500,INLAND
-121.96,37.74,2,200,20,25,9,15.0001,350000,<1H OCEAN
-122.05,37.95,34,1408,277,738,269,4.175,169400,NEAR BAY
-117.88,33.65,24,4879,756,1777,754,5.9055,477300,<1H OCEAN
-122.14,37.75,36,690,105,299,109,4.0313,195500,NEAR BAY
-118.35,34.09,35,1989,634,1108,593,1.6081,288900,<1H OCEAN
-117.16,34.08,9,5306,993,2630,925,4.51,135800,INLAND
-117.01,32.75,26,4038,706,2065,687,3.9545,178100,<1H OCEAN
-122.75,38.41,17,3150,588,1857,610,3.9688,165000,<1H OCEAN
-121.58,39.15,34,1376,376,702,317,1.4946,55500,INLAND
-121.56,39.52,26,1957,429,945,397,1.7308,53600,INLAND
-121.93,37.27,35,1855,345,985,329,6.0196,255100,<1H OCEAN
-118.36,34.05,47,1424,300,632,278,4.0625,295200,<1H OCEAN
-118.09,33.77,27,2301,640,847,627,1.7208,67500,<1H OCEAN
-118.26,33.98,43,762,206,854,188,1.2315,98200,<1H OCEAN
-122.27,37.91,47,1930,315,692,296,6.3669,315500,NEAR BAY
-118.47,34.06,26,6577,1789,2937,1652,4.801,500001,<1H OCEAN
-122.69,38.34,15,3091,697,1602,682,4.0071,135500,<1H OCEAN
-117.09,32.62,34,1576,364,1153,381,2.1955,129700,NEAR OCEAN
-117.59,33.66,3,1206,256,563,287,5.1589,167800,<1H OCEAN
-117.9,33.74,24,1435,494,3171,504,3.0833,151700,<1H OCEAN
-121.06,36.72,23,395,70,166,52,2.2132,100000,INLAND
-117.73,34.08,33,1350,265,1251,257,2.9063,115200,INLAND
-119.13,36.3,33,3379,612,1565,618,2.7321,76500,INLAND
-118.58,34.22,35,1969,339,950,340,4.875,230400,<1H OCEAN
-118.39,33.85,24,4373,871,1830,824,5.7128,366200,<1H OCEAN
-118.48,34.25,35,1865,335,1074,337,5.1068,223300,<1H OCEAN
-119.86,36.78,7,2232,490,1274,499,2.9853,74700,INLAND
-117.12,32.76,28,1605,501,936,460,2.5991,147500,NEAR OCEAN
-122.3,37.51,35,2789,445,1156,404,5.4322,391000,NEAR OCEAN
-118.43,34.06,11,3184,641,911,463,7.2675,500001,<1H OCEAN
-122.25,37.08,20,1201,282,601,234,2.5556,177500,NEAR OCEAN
-117.99,34.06,32,2491,616,2660,595,2.564,145800,INLAND
-117.22,32.83,34,2936,597,1512,571,3.7841,176900,NEAR OCEAN
-118.35,33.93,26,3156,857,2394,787,3.01,191900,<1H OCEAN
-118.8,34.27,12,3330,600,1577,584,4.6985,264100,<1H OCEAN
-122.31,38.3,25,3883,740,1641,676,3.9,187300,NEAR BAY
-118.18,33.9,32,778,227,933,209,2.7292,143800,<1H OCEAN
-118.44,34.07,35,1973,332,1257,296,8.9565,500001,<1H OCEAN
-118.41,33.92,29,1436,401,674,343,3.6389,275000,<1H OCEAN
-118.33,34.09,36,654,186,416,138,3.6953,200000,<1H OCEAN
-121.94,37.27,23,1932,552,997,482,3.662,211900,<1H OCEAN
-121.34,38.69,17,1968,364,996,331,3.7031,114300,INLAND
-122.28,37.77,27,3997,1073,1901,966,3.75,242800,NEAR BAY
-118.09,34.07,45,726,146,568,160,3.0347,183200,<1H OCEAN
-118.02,33.83,26,3616,892,2257,821,3.1497,217600,<1H OCEAN
-122.01,37.54,32,2572,406,1128,395,5,287600,NEAR BAY
-121.02,38.66,4,7392,1155,3096,1065,4.5246,198900,INLAND
-120.01,38.92,25,1758,357,689,278,2.675,104200,INLAND
-117.7,33.64,15,5743,773,2380,773,8.1926,326600,<1H OCEAN
